param,r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_minus_scalar_log2,source_log
SET_4_5_2048,4,6863025,Pass,8192,0,0,0,0.049,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863025.log
SET_4_5_2048,4,6863026,Pass,8192,0,0,0,0.014,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863026.log
SET_4_5_2048,4,6863027,Pass,8192,0,0,0,-0.087,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863027.log
SET_4_5_2048,4,6863028,Pass,8192,0,0,0,-0.177,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863028.log
SET_4_5_2048,4,6863029,Pass,8192,0,0,0,-0.073,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863029.log
SET_4_5_2048,4,6863030,Pass,8192,0,0,0,-0.077,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863030.log
SET_4_5_2048,4,6863031,Pass,8192,0,0,0,-0.227,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863031.log
SET_4_5_2048,4,6863032,Pass,8192,0,0,0,-0.109,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863032.log
SET_4_5_2048,4,6863033,Pass,8192,0,0,0,-0.478,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863033.log
SET_4_5_2048,4,6863034,Pass,8192,0,0,0,-0.202,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863034.log
SET_4_5_2048,4,6863035,Pass,8192,0,0,0,-0.143,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863035.log
SET_4_5_2048,4,6863036,Pass,8192,0,0,0,-0.079,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863036.log
SET_4_5_2048,4,6863037,Pass,8192,0,0,0,-0.028,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863037.log
SET_4_5_2048,4,6863038,Pass,8192,0,0,0,-0.185,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863038.log
SET_4_5_2048,4,6863039,Pass,8192,0,0,0,0.064,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863039.log
SET_4_5_2048,4,6863040,Pass,8192,0,0,0,-0.220,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863040.log
SET_4_5_2048,4,6863041,Pass,8192,0,0,0,-0.015,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863041.log
SET_4_5_2048,4,6863042,Pass,8192,0,0,0,0.126,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863042.log
SET_4_5_2048,4,6863043,Pass,8192,0,0,0,0.335,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863043.log
SET_4_5_2048,4,6863044,Pass,8192,0,0,0,-0.123,repro/stage233_set_4_5_2048_r4_runs10_seeds20/noise_SET_4_5_2048_r4_seeds20/r4/seed_6863044.log
