run,status,param,r,metric,pvw_us,pvw_lane_us,scalar_repeated_us,scalar_lane_us,speedup_vs_scalar_repeated,source_log
0,Pass,SET_4_5_2048,4,T_bootstrap/r,33411925.000,8352981.250,46485118.000,11621279.500,1.391,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_0.log
1,Pass,SET_4_5_2048,4,T_bootstrap/r,30379305.000,7594826.250,41416153.000,10354038.250,1.363,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_1.log
2,Pass,SET_4_5_2048,4,T_bootstrap/r,30979418.000,7744854.500,42361901.000,10590475.250,1.367,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_2.log
3,Pass,SET_4_5_2048,4,T_bootstrap/r,30881561.000,7720390.250,42452369.000,10613092.250,1.375,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_3.log
4,Pass,SET_4_5_2048,4,T_bootstrap/r,31070802.000,7767700.500,41391957.000,10347989.250,1.332,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_4.log
5,Pass,SET_4_5_2048,4,T_bootstrap/r,31102944.000,7775736.000,41470122.000,10367530.500,1.333,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_5.log
6,Pass,SET_4_5_2048,4,T_bootstrap/r,30850675.000,7712668.750,41746811.000,10436702.750,1.353,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_6.log
7,Pass,SET_4_5_2048,4,T_bootstrap/r,30822018.000,7705504.500,41403644.000,10350911.000,1.343,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_7.log
8,Pass,SET_4_5_2048,4,T_bootstrap/r,31352315.000,7838078.750,42343733.000,10585933.250,1.351,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_8.log
9,Pass,SET_4_5_2048,4,T_bootstrap/r,30836959.000,7709239.750,42163649.000,10540912.250,1.367,repro/stage233_set_4_5_2048_r4_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/run_9.log
