run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,27243277.000,0.000,6810819.250,36662164.000,0.000,9165541.000,1.346,0.000
1,Pass,27085539.000,0.000,6771384.750,35732223.000,0.000,8933055.750,1.319,0.000
2,Pass,27086085.000,0.000,6771521.250,35954801.000,0.000,8988700.250,1.327,0.000
3,Pass,27706083.000,0.000,6926520.750,36166854.000,0.000,9041713.500,1.305,0.000
4,Pass,25311822.000,0.000,6327955.500,35957379.000,0.000,8989344.750,1.421,0.000
5,Pass,26588247.000,0.000,6647061.750,36689063.000,0.000,9172265.750,1.380,0.000
6,Pass,27193927.000,0.000,6798481.750,36002317.000,0.000,9000579.250,1.324,0.000
7,Pass,27127712.000,0.000,6781928.000,35838568.000,0.000,8959642.000,1.321,0.000
8,Pass,27409632.000,0.000,6852408.000,43436321.000,0.000,10859080.250,1.585,0.000
9,Pass,32817266.000,0.000,8204316.500,47145616.000,0.000,11786404.000,1.437,0.000
