run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,28623268.000,0.000,14311634.000,35640898.000,0.000,17820449.000,1.245,0.000
1,Pass,28767461.000,0.000,14383730.500,35400910.000,0.000,17700455.000,1.231,0.000
2,Pass,28818243.000,0.000,14409121.500,35623234.000,0.000,17811617.000,1.236,0.000
3,Pass,28773424.000,0.000,14386712.000,35886771.000,0.000,17943385.500,1.247,0.000
4,Pass,28784270.000,0.000,14392135.000,36734597.000,0.000,18367298.500,1.276,0.000
5,Pass,28670670.000,0.000,14335335.000,36158506.000,0.000,18079253.000,1.261,0.000
6,Pass,28935427.000,0.000,14467713.500,35678607.000,0.000,17839303.500,1.233,0.000
7,Pass,28366994.000,0.000,14183497.000,35212489.000,0.000,17606244.500,1.241,0.000
8,Pass,30923969.000,0.000,15461984.500,42052605.000,0.000,21026302.500,1.360,0.000
9,Pass,28773110.000,0.000,14386555.000,35653019.000,0.000,17826509.500,1.239,0.000
