implementation,r,variant,metric,value,unit,evidence,detail
baseline,2,combined_current,cycles,122946990,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"122946990,,cycles,20591374,39.00,,"
baseline,2,combined_current,instructions,240964805,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"240964805,,instructions,26588968,51.00,1.96,insn per cycle"
baseline,2,combined_current,cache-references,2309980,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"2309980,,cache-references,26714990,51.00,,"
baseline,2,combined_current,cache-misses,64212,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"64212,,cache-misses,26711920,51.00,2.78,of all cache refs"
baseline,2,combined_current,branches,18203569,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"18203569,,branches,26712978,51.00,,"
baseline,2,combined_current,branch-misses,50781,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"50781,,branch-misses,26118516,50.00,0.28,of all branches"
baseline,2,combined_current,mem_inst_retired.all_loads,39070248,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"39070248,,mem_inst_retired.all_loads,19993894,38.00,,"
baseline,2,combined_current,mem_inst_retired.all_stores,27126553,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"27126553,,mem_inst_retired.all_stores,19998917,38.00,,"
baseline,2,combined_current,fp_arith_inst_retired.512b_packed_double,41530462,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"41530462,,fp_arith_inst_retired.512b_packed_double,19995456,38.00,,"
baseline,2,combined_current,fp_arith_inst_retired.256b_packed_double,6079574,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_combined_current.log,"6079574,,fp_arith_inst_retired.256b_packed_double,19999307,38.00,,"
baseline,2,torus_to_dft_rows,cycles,94021659,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"94021659,,cycles,16869177,37.00,,"
baseline,2,torus_to_dft_rows,instructions,202666463,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"202666463,,instructions,21864807,48.00,2.16,insn per cycle"
baseline,2,torus_to_dft_rows,cache-references,1239605,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"1239605,,cache-references,22860986,50.00,,"
baseline,2,torus_to_dft_rows,cache-misses,62967,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"62967,,cache-misses,23865112,52.00,5.08,of all cache refs"
baseline,2,torus_to_dft_rows,branches,15784233,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"15784233,,branches,24869124,54.00,,"
baseline,2,torus_to_dft_rows,branch-misses,41955,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"41955,,branch-misses,24549266,54.00,0.27,of all branches"
baseline,2,torus_to_dft_rows,mem_inst_retired.all_loads,31928200,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"31928200,,mem_inst_retired.all_loads,18550506,40.00,,"
baseline,2,torus_to_dft_rows,mem_inst_retired.all_stores,23984851,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"23984851,,mem_inst_retired.all_stores,17550260,38.00,,"
baseline,2,torus_to_dft_rows,fp_arith_inst_retired.512b_packed_double,26946939,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"26946939,,fp_arith_inst_retired.512b_packed_double,16543083,36.00,,"
baseline,2,torus_to_dft_rows,fp_arith_inst_retired.256b_packed_double,5719632,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r2_torus_to_dft_rows.log,"5719632,,fp_arith_inst_retired.256b_packed_double,15996766,35.00,,"
baseline,4,combined_current,cycles,232155506,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"232155506,,cycles,32920360,39.00,,"
baseline,4,combined_current,instructions,408741632,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"408741632,,instructions,41925411,50.00,1.76,insn per cycle"
baseline,4,combined_current,cache-references,5653153,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"5653153,,cache-references,42920653,51.00,,"
baseline,4,combined_current,cache-misses,664807,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"664807,,cache-misses,42987699,51.00,11.76,of all cache refs"
baseline,4,combined_current,branches,29952858,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"29952858,,branches,42994223,51.00,,"
baseline,4,combined_current,branch-misses,89730,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"89730,,branch-misses,42063701,50.00,0.30,of all branches"
baseline,4,combined_current,mem_inst_retired.all_loads,76633677,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"76633677,,mem_inst_retired.all_loads,32072437,38.00,,"
baseline,4,combined_current,mem_inst_retired.all_stores,43597424,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"43597424,,mem_inst_retired.all_stores,31998169,38.00,,"
baseline,4,combined_current,fp_arith_inst_retired.512b_packed_double,74847069,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"74847069,,fp_arith_inst_retired.512b_packed_double,31993450,38.00,,"
baseline,4,combined_current,fp_arith_inst_retired.256b_packed_double,9165913,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_combined_current.log,"9165913,,fp_arith_inst_retired.256b_packed_double,31997084,38.00,,"
baseline,4,torus_to_dft_rows,cycles,164815924,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"164815924,,cycles,24170875,38.00,,"
baseline,4,torus_to_dft_rows,instructions,347705382,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"347705382,,instructions,31172231,49.00,2.11,insn per cycle"
baseline,4,torus_to_dft_rows,cache-references,2323870,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"2323870,,cache-references,32169870,51.00,,"
baseline,4,torus_to_dft_rows,cache-misses,148722,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"148722,,cache-misses,32921881,52.00,6.40,of all cache refs"
baseline,4,torus_to_dft_rows,branches,27257019,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"27257019,,branches,32919546,52.00,,"
baseline,4,torus_to_dft_rows,branch-misses,77085,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"77085,,branch-misses,32749587,52.00,0.28,of all branches"
baseline,4,torus_to_dft_rows,mem_inst_retired.all_loads,44217056,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"44217056,,mem_inst_retired.all_loads,24729554,39.00,,"
baseline,4,torus_to_dft_rows,mem_inst_retired.all_stores,34848142,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"34848142,,mem_inst_retired.all_stores,23981295,38.00,,"
baseline,4,torus_to_dft_rows,fp_arith_inst_retired.512b_packed_double,41112519,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"41112519,,fp_arith_inst_retired.512b_packed_double,23976106,38.00,,"
baseline,4,torus_to_dft_rows,fp_arith_inst_retired.256b_packed_double,9256440,,repro/stage215_native_counter_execution/native_perf_raw/perf_baseline_r4_torus_to_dft_rows.log,"9256440,,fp_arith_inst_retired.256b_packed_double,23976298,38.00,,"
wrapper,2,combined_current,cycles,129209222,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"129209222,,cycles,20117134,37.00,,"
wrapper,2,combined_current,instructions,233988723,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"233988723,,instructions,26114586,48.00,1.81,insn per cycle"
wrapper,2,combined_current,cache-references,2507827,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"2507827,,cache-references,27113698,50.00,,"
wrapper,2,combined_current,cache-misses,207382,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"207382,,cache-misses,28091604,52.00,8.27,of all cache refs"
wrapper,2,combined_current,branches,16886623,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"16886623,,branches,28672973,53.00,,"
wrapper,2,combined_current,branch-misses,60316,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"60316,,branch-misses,28551430,53.00,0.36,of all branches"
wrapper,2,combined_current,mem_inst_retired.all_loads,36246774,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"36246774,,mem_inst_retired.all_loads,21555861,40.00,,"
wrapper,2,combined_current,mem_inst_retired.all_stores,24520014,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"24520014,,mem_inst_retired.all_stores,20578278,38.00,,"
wrapper,2,combined_current,fp_arith_inst_retired.512b_packed_double,34472028,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"34472028,,fp_arith_inst_retired.512b_packed_double,19997470,37.00,,"
wrapper,2,combined_current,fp_arith_inst_retired.256b_packed_double,5384964,,repro/stage215_native_counter_execution/native_perf_raw/perf_wrapper_r2_combined_current.log,"5384964,,fp_arith_inst_retired.256b_packed_double,19995196,37.00,,"
