r,N,seed,modulus,root_status,dense_structured_phase_mismatches,structured_coeff_dft_mismatches,structured_noisy_bound_violations,negative_control_failures,max_dense_structured_abs_gap,max_coeff_dft_abs_gap,max_noisy_abs_delta,max_noise_bound,dense_ep_terms,structured_ep_terms,ep_term_ratio,requested_bytes,rss_kb,status
2,32,0,2013265921,PASS_ROOT,0,0,0,64,0,0,14,64,6,4,1.500000,26144,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,32,1,2013265921,PASS_ROOT,0,0,0,62,0,0,15,64,6,4,1.500000,26144,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,32,2,2013265921,PASS_ROOT,0,0,0,63,0,0,18,64,6,4,1.500000,26144,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,32,3,2013265921,PASS_ROOT,0,0,0,64,0,0,17,64,6,4,1.500000,26144,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,32,4,2013265921,PASS_ROOT,0,0,0,60,0,0,13,64,6,4,1.500000,26144,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,64,0,2013265921,PASS_ROOT,0,0,0,127,0,0,23,128,6,4,1.500000,52256,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,64,1,2013265921,PASS_ROOT,0,0,0,126,0,0,22,128,6,4,1.500000,52256,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,64,2,2013265921,PASS_ROOT,0,0,0,127,0,0,23,128,6,4,1.500000,52256,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,64,3,2013265921,PASS_ROOT,0,0,0,123,0,0,22,128,6,4,1.500000,52256,1048,PASS_STRUCTURED_EP_ARITHMETIC
2,64,4,2013265921,PASS_ROOT,0,0,0,128,0,0,41,128,6,4,1.500000,52256,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,32,0,2013265921,PASS_ROOT,0,0,0,126,0,0,18,64,20,8,2.500000,58432,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,32,1,2013265921,PASS_ROOT,0,0,0,127,0,0,15,64,20,8,2.500000,58432,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,32,2,2013265921,PASS_ROOT,0,0,0,122,0,0,18,64,20,8,2.500000,58432,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,32,3,2013265921,PASS_ROOT,0,0,0,126,0,0,17,64,20,8,2.500000,58432,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,32,4,2013265921,PASS_ROOT,0,0,0,127,0,0,15,64,20,8,2.500000,58432,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,64,0,2013265921,PASS_ROOT,0,0,0,254,0,0,23,128,20,8,2.500000,116800,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,64,1,2013265921,PASS_ROOT,0,0,0,254,0,0,22,128,20,8,2.500000,116800,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,64,2,2013265921,PASS_ROOT,0,0,0,249,0,0,23,128,20,8,2.500000,116800,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,64,3,2013265921,PASS_ROOT,0,0,0,256,0,0,24,128,20,8,2.500000,116800,1048,PASS_STRUCTURED_EP_ARITHMETIC
4,64,4,2013265921,PASS_ROOT,0,0,0,256,0,0,41,128,20,8,2.500000,116800,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,32,0,2013265921,PASS_ROOT,0,0,0,191,0,0,18,64,42,12,3.500000,96864,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,32,1,2013265921,PASS_ROOT,0,0,0,191,0,0,20,64,42,12,3.500000,96864,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,32,2,2013265921,PASS_ROOT,0,0,0,189,0,0,18,64,42,12,3.500000,96864,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,32,3,2013265921,PASS_ROOT,0,0,0,188,0,0,19,64,42,12,3.500000,96864,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,32,4,2013265921,PASS_ROOT,0,0,0,189,0,0,20,64,42,12,3.500000,96864,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,64,0,2013265921,PASS_ROOT,0,0,0,380,0,0,25,128,42,12,3.500000,193632,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,64,1,2013265921,PASS_ROOT,0,0,0,384,0,0,22,128,42,12,3.500000,193632,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,64,2,2013265921,PASS_ROOT,0,0,0,380,0,0,29,128,42,12,3.500000,193632,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,64,3,2013265921,PASS_ROOT,0,0,0,381,0,0,24,128,42,12,3.500000,193632,1048,PASS_STRUCTURED_EP_ARITHMETIC
6,64,4,2013265921,PASS_ROOT,0,0,0,383,0,0,41,128,42,12,3.500000,193632,1048,PASS_STRUCTURED_EP_ARITHMETIC
