path,exists,sha256,bytes
docs/stage225_exact_refresh_noise_resource_rerun.md,yes,8bc3088ad411a3faa426975edbf4f1e48ecbe1be094ecceb323b4cb295f4cc82,5486
experiments/stage225_exact_refresh_noise_resource_rerun_plan.md,yes,657f2d58a9cc95a763a9559eb9ee2307f9bb0d58cfd8f2821c6caed1a9ac5627,352
theory_checks/stage225_exact_refresh_noise_resource_model.md,yes,514d6e2559cb09edaac0eb77df50a231773547f2205eca8f9d4af1642f24b0e1,505
algorithm_variants/mat_rlwe_sab_stage225_noise_resource.md,yes,0d0f176281161a3f466396aa2968aa089d423fb2e30887129987e824b9b69277,239
repro/stage225_exact_refresh_noise_resource_rerun/input_status.csv,yes,478510b76fc0b7aa89564bd9faf5bc36bffbc4921f6e4d9d5932f52f5ac45fee,861
repro/stage225_exact_refresh_noise_resource_rerun/noise_results.csv,yes,a90905117ddff5fcc6707429acbb3d82793d0a8bd43b426e1a447c98dd53e095,609
repro/stage225_exact_refresh_noise_resource_rerun/noise_aggregate.csv,yes,2c74a7286f45c819aedb517e637a776f0b79c87aa3671518e02f0e795aececdd,231
repro/stage225_exact_refresh_noise_resource_rerun/resource_results.csv,yes,1812282be420eb5f3bfef4ca387e4dd29ef4bb6e9d0dc12ce9fe19bc340201f8,438
repro/stage225_exact_refresh_noise_resource_rerun/resource_comparison.csv,yes,7eae94dca7447ff89b491e420b41bd9613f2fbe842c7d8184b7b44725ac8ea8a,427
repro/stage225_exact_refresh_noise_resource_rerun/proof_gate.csv,yes,bbc7947190f79389b6a3d62f048fdb4a190544bb64c3ffa894280e7cca6ab515,1560
repro/stage225_exact_refresh_noise_resource_rerun/next_stage_queue.csv,yes,98672b71f25f714d0e5f64f4375e36bc42ea74b7846aa09723b5e89c3de39248,946
repro/stage225_exact_refresh_noise_resource_rerun/noise_resource_rerun_report.md,yes,8bc3088ad411a3faa426975edbf4f1e48ecbe1be094ecceb323b4cb295f4cc82,5486
repro/stage225_exact_refresh_noise_resource_rerun/reproduction_commands.md,yes,f23720f8bf4397a8c960661b50e655dcd096d085f021f5b1da42d1af3d1be3bd,471
repro/stage225_exact_refresh_noise_resource_rerun/cleanup.log,yes,193b09b5160bcb21ce03a502220fc3623ff0efcdc48160356aa5dca94e7cb6e9,193
repro/stage225_exact_refresh_noise_resource_rerun/noise_build_backend.log,yes,446b0b9a125c924081567a5ece400be061881288d7b4e99269aab32917a92f25,14581
repro/stage225_exact_refresh_noise_resource_rerun/resource_build_backend.log,yes,a5478d180063fa14d70c706b6937ee7e82515f97a14181057878bd20cd83543f,12064
scripts/build_stage225_exact_refresh_noise_resource_rerun.py,yes,0f1a459f9895d9422db8279cebcc146a6f23415090a858ca8f3a4b8cf4ba0e37,32109
repro/stage225_exact_refresh_noise_resource_rerun/noise_backend_seed_6869580.log,yes,9607cd058707635ce0ce18f83464e76eaffc3f45f8709b3ec776d9ffbbd493e5,1970
repro/stage225_exact_refresh_noise_resource_rerun/noise_backend_seed_6869581.log,yes,12fe6207cdfec40e98d780eb0396a5c28d3d89867bb516cfe7f14e0b4094d861,1969
repro/stage225_exact_refresh_noise_resource_rerun/noise_backend_seed_6869582.log,yes,6ef0b2dff8adcfd34c823c6b0cecf1704501201ddd13d58d820908aca9ee548f,1969
repro/stage225_exact_refresh_noise_resource_rerun/resource_pvw_run_0.log,yes,a078328f4c8c564446152f8673cd9b20790260c728a808855bee083b3ee2f7fa,1798
repro/stage225_exact_refresh_noise_resource_rerun/resource_scalar_run_0.log,yes,7b573372983b033d047c454d3a5f1cd37504cd76bb54c1f0353893866b716585,1877
