file,pattern_id,hits,status
repro/stage198_metadata_safe_manuscript_refresh/manuscript_draft.md,B1,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/manuscript_draft.md,B2,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/manuscript_draft.md,B3,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/manuscript_draft.md,B4,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/manuscript_draft.md,B5,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/manuscript_draft.md,B6,0,PASS
docs/stage198_metadata_safe_manuscript_refresh.md,B1,0,PASS
docs/stage198_metadata_safe_manuscript_refresh.md,B2,0,PASS
docs/stage198_metadata_safe_manuscript_refresh.md,B3,0,PASS
docs/stage198_metadata_safe_manuscript_refresh.md,B4,0,PASS
docs/stage198_metadata_safe_manuscript_refresh.md,B5,0,PASS
docs/stage198_metadata_safe_manuscript_refresh.md,B6,0,PASS
experiments/stage198_metadata_safe_manuscript_refresh_plan.md,B1,0,PASS
experiments/stage198_metadata_safe_manuscript_refresh_plan.md,B2,0,PASS
experiments/stage198_metadata_safe_manuscript_refresh_plan.md,B3,0,PASS
experiments/stage198_metadata_safe_manuscript_refresh_plan.md,B4,0,PASS
experiments/stage198_metadata_safe_manuscript_refresh_plan.md,B5,0,PASS
experiments/stage198_metadata_safe_manuscript_refresh_plan.md,B6,0,PASS
theory_checks/stage198_manuscript_compliance_model.md,B1,0,PASS
theory_checks/stage198_manuscript_compliance_model.md,B2,0,PASS
theory_checks/stage198_manuscript_compliance_model.md,B3,0,PASS
theory_checks/stage198_manuscript_compliance_model.md,B4,0,PASS
theory_checks/stage198_manuscript_compliance_model.md,B5,0,PASS
theory_checks/stage198_manuscript_compliance_model.md,B6,0,PASS
algorithm_variants/mat_rlwe_sab_metadata_safe_manuscript_refresh.md,B1,0,PASS
algorithm_variants/mat_rlwe_sab_metadata_safe_manuscript_refresh.md,B2,0,PASS
algorithm_variants/mat_rlwe_sab_metadata_safe_manuscript_refresh.md,B3,0,PASS
algorithm_variants/mat_rlwe_sab_metadata_safe_manuscript_refresh.md,B4,0,PASS
algorithm_variants/mat_rlwe_sab_metadata_safe_manuscript_refresh.md,B5,0,PASS
algorithm_variants/mat_rlwe_sab_metadata_safe_manuscript_refresh.md,B6,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/reproduction_commands.md,B1,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/reproduction_commands.md,B2,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/reproduction_commands.md,B3,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/reproduction_commands.md,B4,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/reproduction_commands.md,B5,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/reproduction_commands.md,B6,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/sentence_usage.csv,B1,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/sentence_usage.csv,B2,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/sentence_usage.csv,B3,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/sentence_usage.csv,B4,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/sentence_usage.csv,B5,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/sentence_usage.csv,B6,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/paragraph_compliance.csv,B1,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/paragraph_compliance.csv,B2,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/paragraph_compliance.csv,B3,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/paragraph_compliance.csv,B4,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/paragraph_compliance.csv,B5,0,PASS
repro/stage198_metadata_safe_manuscript_refresh/paragraph_compliance.csv,B6,0,PASS
