variant,metric,value,unit,evidence,detail
mat_ep_subdecomp,cycles,733921233,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"733,921,233      cycles                                                                  (39.41%)"
mat_ep_subdecomp,instructions,998314882,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"998,314,882      instructions                     #    1.36  insn per cycle              (49.51%)"
mat_ep_subdecomp,cache-references,44921006,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"44,921,006      cache-references                                                        (49.31%)"
mat_ep_subdecomp,cache-misses,5367767,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"5,367,767      cache-misses                     #   11.95% of all cache refs           (50.33%)"
mat_ep_subdecomp,branches,80683507,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"80,683,507      branches                                                                (50.39%)"
mat_ep_subdecomp,branch-misses,167907,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"167,907      branch-misses                    #    0.21% of all branches             (50.50%)"
mat_ep_subdecomp,mem_inst_retired.all_loads,219525198,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"219,525,198      mem_inst_retired.all_loads                                              (40.39%)"
mat_ep_subdecomp,mem_inst_retired.all_stores,111144650,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"111,144,650      mem_inst_retired.all_stores                                             (40.20%)"
mat_ep_subdecomp,fp_arith_inst_retired.512b_packed_double,237840216,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"237,840,216      fp_arith_inst_retired.512b_packed_double                                        (39.95%)"
mat_ep_subdecomp,fp_arith_inst_retired.256b_packed_double,23097198,count,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,"23,097,198      fp_arith_inst_retired.256b_packed_double                                        (39.51%)"
mat_ep_subdecomp,elapsed_seconds,0.231272782,seconds,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,0.231272782 seconds time elapsed
mat_ep_subdecomp,user_seconds,0.192062000,seconds,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,0.192062000 seconds user
mat_ep_subdecomp,sys_seconds,0.039217000,seconds,repro/stage170_native_split_counter_microbench/run_mat_ep_subdecomp_perf.log,0.039217000 seconds sys
from_dft_materialize,cycles,522086334,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"522,086,334      cycles                                                                  (39.27%)"
from_dft_materialize,instructions,830267579,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"830,267,579      instructions                     #    1.59  insn per cycle              (49.54%)"
from_dft_materialize,cache-references,14145189,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"14,145,189      cache-references                                                        (50.15%)"
from_dft_materialize,cache-misses,9151348,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"9,151,348      cache-misses                     #   64.70% of all cache refs           (50.75%)"
from_dft_materialize,branches,64573571,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"64,573,571      branches                                                                (51.34%)"
from_dft_materialize,branch-misses,219205,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"219,205      branch-misses                    #    0.34% of all branches             (51.06%)"
from_dft_materialize,mem_inst_retired.all_loads,139846481,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"139,846,481      mem_inst_retired.all_loads                                              (40.19%)"
from_dft_materialize,mem_inst_retired.all_stores,99966844,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"99,966,844      mem_inst_retired.all_stores                                             (39.59%)"
from_dft_materialize,fp_arith_inst_retired.512b_packed_double,124917084,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"124,917,084      fp_arith_inst_retired.512b_packed_double                                        (39.00%)"
from_dft_materialize,fp_arith_inst_retired.256b_packed_double,35409226,count,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,"35,409,226      fp_arith_inst_retired.256b_packed_double                                        (38.66%)"
from_dft_materialize,elapsed_seconds,0.169954448,seconds,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,0.169954448 seconds time elapsed
from_dft_materialize,user_seconds,0.116682000,seconds,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,0.116682000 seconds user
from_dft_materialize,sys_seconds,0.053312000,seconds,repro/stage170_native_split_counter_microbench/run_from_dft_materialize_perf.log,0.053312000 seconds sys
