case,samples,speedup_mean,speedup_min,speedup_max,pvw_lane_s,scalar_lane_s,noise_gate
SET_2_3_2048_r2,10,1.800200,1.690000,1.861000,7.819,14.064,Pass
SET_2_3_2048_r4,10,1.821700,1.781000,1.998000,7.408,13.496,Pass
SET_2_3_4096_r2,10,1.738400,1.696000,1.754000,14.093,24.499,Pass
SET_2_3_4096_r4,10,1.687700,1.653000,1.710000,14.245,24.040,Pass
SET_4_5_2048_r2,10,1.824800,1.800000,1.980000,7.719,14.086,Pass
SET_4_5_2048_r4,10,1.827100,1.762000,2.008000,7.805,14.265,Pass
SET_4_5_4096_r2,10,1.750800,1.728000,1.885000,14.673,25.681,Pass
SET_4_5_4096_r4,10,1.703000,1.687000,1.720000,14.555,24.787,Pass
SET_6_7_4096_r4,10,1.780800,1.749000,1.802000,16.055,28.589,Pass
SET_8_9_4096_r2,10,1.515200,1.399000,1.566000,127.250,192.262,Pass
SET_8_9_4096_r4,10,1.635000,1.554000,1.732000,122.524,200.005,Pass
