r,trial,field_prime,structured_mismatches,dense_mismatches,expected_dense_missing,status
2,0,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,1,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,2,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,3,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,4,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,5,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,6,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,7,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,8,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,9,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,10,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,11,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,12,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,13,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,14,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
2,15,65537,0,2,2,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,0,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,1,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,2,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,3,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,4,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,5,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,6,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,7,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,8,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,9,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,10,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,11,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,12,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,13,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,14,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
4,15,65537,0,12,12,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,0,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,1,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,2,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,3,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,4,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,5,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,6,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,7,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,8,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,9,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,10,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,11,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,12,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,13,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,14,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
6,15,65537,0,30,30,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,0,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,1,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,2,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,3,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,4,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,5,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,6,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,7,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,8,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,9,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,10,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,11,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,12,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,13,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,14,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
8,15,65537,0,56,56,PASS_STRUCTURED_EXACT_DENSE_BLOCKED
