check,status,evidence,detail
verification_input_commit,3019ae0,git rev-parse --short HEAD,Commit checked before writing verifier output artifacts.
worktree_clean_before_outputs,FAIL_DIRTY,git status --short --untracked-files=all,M docs/conditional_backlog_audit.md; M docs/current_codex_goal_sab_completion.md; M docs/final_goal_completion_audit.md; M docs/goal_sab_max_acceleration.md; M docs/loop_engineering.md; M docs/remaining_blocker_dashboard.md; M docs/roadmap_stage19_plus.md; M docs/stage40_final_freeze_report.md; M docs/stage42_closure_verify_log.md; M docs/stage42_evidence_closure_audit.md; M hypotheses/hypothesis_register.yaml; M repro/artifact_manifest.md; M repro/conditional_backlog_audit.csv; M repro/external_evidence_intake/summary.csv; M repro/final_goal_completion_audit.csv; M repro/remaining_blocker_dashboard.csv; M repro/reproduction_checklist.md; M repro/run_log.csv; M repro/stage38_fulltext_review_gate/review_checklist.csv; M repro/stage40_final_freeze_manifest.csv; M repro/stage40_final_freeze_summary.csv; M repro/stage42_closure_verify/summary.csv; M repro/stage42_evidence_closure_audit.csv; M repro/stage42_evidence_closure_manifest.csv; M scripts/build_conditional_backlog_audit.py; M scripts/build_final_goal_completion_audit.py; M scripts/build_remaining_blocker_dashboard.py; M scripts/build_stage42_evidence_closure_audit.py; M scripts/register_external_evidence.py; M scripts/verify_stage42_closure.py; ?? docs/stage101_cb5_remote_native_perf_log.md; ?? docs/stage102_686_source_anchor_review_log.md; ?? docs/stage103_related_work_novelty_review_log.md; ?? experiments/stage101_cb5_remote_native_perf_plan.md; ?? experiments/stage102_686_source_anchor_review_plan.md; ?? experiments/stage103_related_work_novelty_review_plan.md; ?? repro/stage101_cb5_remote_native_perf/artifact_index.csv; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/bench_attribution_summary.csv; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/event_support.csv; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/perf_list.txt; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_branch-misses.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_branches.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_cache-misses.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_cache-references.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_cycles.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_fp_arith_inst_retired_256b_packed_double.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_fp_arith_inst_retired_512b_packed_double.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_fp_arith_inst_retired_scalar_double.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_instructions.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_mem_inst_retired_all_loads.err; ?? repro/stage101_cb5_remote_native_perf/attribution_probe/test_mem_inst_retired_all_stores.err; ?? repro/stage101_cb5_remote_native_perf/counter_metrics.csv; ?? repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench.err; ?? repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/perf_smoke.err; ?? repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/summary.csv; ?? repro/stage101_cb5_remote_native_perf/summary.csv; ?? repro/stage102_686_source_anchor_review/artifact_index.csv; ?? repro/stage102_686_source_anchor_review/review_matrix.csv; ?? repro/stage102_686_source_anchor_review/summary.csv; ?? repro/stage103_related_work_novelty_review/artifact_index.csv; ?? repro/stage103_related_work_novelty_review/novelty_claim_matrix.csv; ?? repro/stage103_related_work_novelty_review/related_work_matrix.csv; ?? repro/stage103_related_work_novelty_review/source_verification.csv; ?? repro/stage103_related_work_novelty_review/summary.csv; ?? scripts/build_stage101_cb5_remote_native_perf.py; ?? scripts/build_stage102_686_source_anchor_review.py; ?? scripts/build_stage103_related_work_novelty_review.py
final_audit_A9,PASS,repro/final_goal_completion_audit.csv,SCOPED_ENGINEERING_CHAIN_READY__EXTERNAL_REVIEWED_STRONGER_CLAIMS_SCOPED
stage41_readiness,PASS,repro/stage41_external_unlock_packet.csv,all readiness rows remain waiting for external evidence
stage42_overall,PASS,repro/stage42_evidence_closure_audit.csv,PASS_SCOPED_EVIDENCE_CLOSURE_STRONGER_CLAIMS_BLOCKED
stage42_manifest_hashes,PASS,repro/stage42_evidence_closure_manifest.csv,all closure manifest hashes match
stage43_current_smoke,PASS,repro/stage43_current_smoke_after_stage42/summary.csv,"scalar binary, PVW target, and scalar ternary smoke rows pass"
stage44_external_reprobe,PASS,repro/stage44_external_unlock_reprobe/summary.csv,external full-text/native-perf unlocks remain unavailable and recorded
stage45_active_state,PASS,repro/stage45_active_state_refactor/summary.csv,Stage45 active-state correctness passes and closure audit records it
stage46_wsl_target,PASS,repro/stage46_wsl_active_state_target_smoke/summary.csv,Stage46 WSL spqlios_avx512 target gate passes and closure audit records it
stage47_wsl_full_sab,PASS,repro/stage47_wsl_active_state_full_sab_smoke/summary.csv,Stage47 WSL r=2/r=4 full-SAB smoke passes with positive A/B speedup and closure audit records it
stage48_wsl_noise,PASS,repro/stage48_wsl_active_state_noise_smoke/aggregate.csv,Stage48 WSL r=2/r=4 final-output noise smoke passes with zero failures and closure audit records it
stage49_wsl_repeated_full_sab,PASS,repro/stage49_wsl_repeated_full_sab/summary.csv,Stage49 WSL r=2/r=4 repeated full-SAB stability passes and closure audit records it
stage50_performance_matrix,PASS,repro/stage50_performance_evidence_matrix.csv,Stage50 performance evidence matrix preserves high-stat/current-head/smoke claim boundaries and closure audit records it
stage51_goal_frontier,PASS,repro/stage51_goal_completion_frontier.csv,Stage51 goal frontier separates local scoped-ready evidence from stronger external blockers and closure audit records it
stage52_external_unlock_readiness,PASS,repro/stage52_external_unlock_readiness.csv,"Stage52 external unlock readiness packet records external inputs, commands, artifacts, gates, and failure policies"
stage53_final_recheck_integration,PASS,repro/stage53_final_recheck_stage50_52/summary.csv,"Stage53 final recheck integrates Stage50, Stage51, Stage52, and Stage42 closure"
stage54_default_final_recheck,PASS,repro/stage54_default_final_recheck/summary.csv,"Stage54 default final recheck covers Stage50, Stage51, Stage52, and Stage42 closure"
stage55_external_paper_probe,PASS,repro/stage55_external_paper_probe/summary.csv,Stage55 records Crossref metadata while preserving the 2025/686 full-text review blocker
stage56_final_recheck_stage55,PASS,repro/stage56_final_recheck_stage55/summary.csv,Stage56 final recheck refreshes Stage55 and propagates it through blockers/frontier/unlock/closure
