param,r,sample_id,status,pvw_avg_us,scalar_repeated_avg_us,speedup_vs_scalar_repeated,source_csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_0,Pass,14903545.000,18025776.000,1.209,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_1,Pass,14518646.000,18016896.000,1.241,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_2,Pass,14734857.000,18660232.000,1.266,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_3,Pass,14042784.000,18900430.000,1.346,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_4,Pass,14260500.000,18235070.000,1.279,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_5,Pass,14387746.000,18671276.000,1.298,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_6,Pass,14316359.000,18156854.000,1.268,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_7,Pass,14339766.000,18959736.000,1.322,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_8,Pass,14592324.000,19379775.000,1.328,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,2,perf_SET_4_5_2048_r2_runs10:run_9,Pass,14365195.000,18677783.000,1.300,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r2_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_0,Pass,27275142.000,36365263.000,1.333,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_1,Pass,27492989.000,36754701.000,1.337,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_2,Pass,27341420.000,36931310.000,1.351,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_3,Pass,27684786.000,36370784.000,1.314,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_4,Pass,27779723.000,36645582.000,1.319,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_5,Pass,26635194.000,36674399.000,1.377,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_6,Pass,26235970.000,36097843.000,1.376,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_7,Pass,26056593.000,35999879.000,1.382,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_8,Pass,26330978.000,36777195.000,1.397,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_4_5_2048,4,perf_SET_4_5_2048_r4_runs10:run_9,Pass,27795674.000,36718049.000,1.321,repro/stage36_added_params_runs10_seeds20/perf_SET_4_5_2048_r4_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_0,Pass,27714868.000,32031324.000,1.156,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_1,Pass,24849942.000,31336560.000,1.261,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_2,Pass,25195564.000,30605705.000,1.215,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_3,Pass,24749231.000,30718002.000,1.241,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_4,Pass,24988440.000,30812675.000,1.233,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_5,Pass,25237835.000,31222614.000,1.237,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_6,Pass,25037470.000,30583473.000,1.222,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_7,Pass,24953823.000,31274900.000,1.253,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_8,Pass,25129212.000,31327027.000,1.247,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,2,perf_SET_2_3_4096_r2_runs10:run_9,Pass,24943829.000,32065333.000,1.286,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r2_runs10/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs10:run_0,Pass,46300336.000,61986974.000,1.339,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs10/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs10:run_1,Pass,51111734.000,80204480.000,1.569,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs10/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs10:run_2,Pass,72164647.000,99393313.000,1.377,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs10/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs9_topup:run_0,Pass,78065228.000,98680302.000,1.264,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs9_topup/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs9_topup:run_1,Pass,72520580.000,98322697.000,1.356,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs9_topup/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs9_topup:run_2,Pass,48311085.000,63134625.000,1.307,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs9_topup/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs9_topup:run_3,Pass,46374526.000,60692840.000,1.309,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs9_topup/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs9_topup:run_4,Pass,46629751.000,60665296.000,1.301,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs9_topup/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs9_topup:run_5,Pass,46756024.000,62019067.000,1.326,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs9_topup/summary.csv
SET_2_3_4096,4,perf_SET_2_3_4096_r4_runs9_topup:run_6,Pass,47133576.000,61940772.000,1.314,repro/stage36_added_params_runs10_seeds20/perf_SET_2_3_4096_r4_runs9_topup/summary.csv
