artifact,exists,sha256,size_bytes
docs/stage120_real_struct_phase_noise_gate.md,yes,29b27609472534b52202564ac65b813d4fe0635bd869d2a2480934edbb457904,4160
experiments/stage120_real_struct_phase_noise_gate_plan.md,yes,dadff3d8aefc0f27e26dfb5280ad7ac5febf3990522e9fe23820385c542a1822,468
theory_checks/stage120_real_struct_phase_noise_model.md,yes,09e0af68d4a58f82b87242adca411b5811126bc7dea542765fb0dde1eac694cf,1888
algorithm_variants/mat_rlwe_sab_vector_shared_real_struct.md,yes,0557b8ecc18dd06c6534dc365dfd841ee248e5fea4cda10160cf709f7383d22f,1666
repro/stage120_real_struct_phase_noise_gate/summary.csv,yes,78ce9a5f8f8ce439f377d307aa1c2aa096c78cb03b2c83ab0c6237e8494ffad0,1478
repro/stage120_real_struct_phase_noise_gate/phase_noise_results.csv,yes,013e01c2771c7c5e6bc74c989e45476927fd1e48e3c07510a7cbdfa8c4a6bf67,1842
repro/stage120_real_struct_phase_noise_gate/layout_results.csv,yes,bb2d18ff70bfb184227fab9ed00eb54b1bc09d57d163cdba606cca5b5bebbeea,370
repro/stage120_real_struct_phase_noise_gate/compile.log,yes,c3cff2edc80e55f398239f92751300fe000f172453ef433739aa809f8fc4ad64,331
repro/stage120_real_struct_phase_noise_gate/real_struct_phase_noise_gate.c,yes,7f175133b27f10d5f5c3e60a5a4574fae5d9560ed8eeec7b99ca0a8b3419748a,8726
scripts/build_stage120_real_struct_phase_noise_gate.py,yes,b4db52cbb106a78ef850e7795cd9b1ea94ec463474c01ac019987ead71997d65,27651
