variant,component,component_us,calls,share_of_profile_full,full_us,source_run_log
fast_control,rgsw_monomial,27703225.000,40,0.976519,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,cmux_total,27502958.000,573440,0.969460,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,mat_ep,13013291.000,573440,0.458709,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,cmux_from_dft,6451011.000,573440,0.227394,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,cmux_add,4006296.000,573440,0.141219,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,cmux_sub,3939465.000,573440,0.138863,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,ncmux_total,428143.000,5080,0.015092,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,ncmux_auto,168817.000,5080,0.005951,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,dual_sub_pair,0.000,0,0.000000,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
fast_control,sub_a_total,652545.000,39,0.023002,28369369.000,repro/stage281_cmux_residual_repeated_gate/raw/fast_control_profile_run.log
backend_sub_decomp_dual,rgsw_monomial,25313795.000,40,0.973882,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_total,25061287.000,573440,0.964168,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,mat_ep,15666484.000,573440,0.602727,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_from_dft,9338286.000,573440,0.359266,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_add,0.000,573440,0.000000,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_sub,59085.000,573440,0.002273,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,ncmux_total,440656.000,5080,0.016953,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,ncmux_auto,165853.000,5080,0.006381,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,dual_sub_pair,59085.000,5080,0.002273,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,sub_a_total,651293.000,39,0.025057,25992662.000,repro/stage281_cmux_residual_repeated_gate/raw/backend_sub_decomp_dual_profile_run.log
