seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap
6862025,Pass,4096,0,0,0,-7.721,-8.328,-7.311,0.608,4.000
6862026,Pass,4096,0,0,0,-8.027,-8.280,-7.590,0.253,4.000
6862027,Pass,4096,0,0,0,-8.314,-8.333,-7.759,0.019,4.000
6862028,Pass,4096,0,0,0,-8.280,-8.142,-7.682,-0.138,4.000
6862029,Pass,4096,0,0,0,-8.061,-8.209,-7.549,0.148,4.000
6862030,Pass,4096,0,0,0,-7.694,-8.329,-7.400,0.636,4.000
6862031,Pass,4096,0,0,0,-8.163,-8.118,-7.544,-0.045,4.000
6862032,Pass,4096,0,0,0,-8.097,-8.204,-7.822,0.107,4.000
6862033,Pass,4096,0,0,0,-7.631,-8.243,-7.355,0.612,4.000
6862034,Pass,4096,0,0,0,-8.278,-8.230,-7.865,-0.048,4.000
6862035,Pass,4096,0,0,0,-8.189,-8.289,-7.731,0.100,4.000
6862036,Pass,4096,0,0,0,-7.986,-8.031,-7.393,0.045,4.000
6862037,Pass,4096,0,0,0,-8.438,-8.101,-7.862,-0.337,4.000
6862038,Pass,4096,0,0,0,-8.266,-7.894,-7.542,-0.372,4.000
6862039,Pass,4096,0,0,0,-8.439,-8.141,-7.724,-0.298,4.000
6862040,Pass,4096,0,0,0,-8.319,-8.330,-7.943,0.011,4.000
6862041,Pass,4096,0,0,0,-8.074,-8.149,-7.629,0.075,4.000
6862042,Pass,4096,0,0,0,-7.639,-7.837,-7.284,0.198,4.000
6862043,Pass,4096,0,0,0,-8.178,-7.782,-7.417,-0.396,4.000
6862044,Pass,4096,0,0,0,-8.323,-8.051,-7.619,-0.272,4.000
6862045,Pass,4096,0,0,0,-8.191,-8.131,-7.873,-0.060,4.000
6862046,Pass,4096,0,0,0,-7.777,-8.300,-7.651,0.524,4.000
6862047,Pass,4096,0,0,0,-8.374,-8.366,-7.893,-0.009,4.000
6862048,Pass,4096,0,0,0,-8.250,-8.129,-7.676,-0.122,4.000
6862049,Pass,4096,0,0,0,-8.239,-8.143,-7.670,-0.097,4.000
6862050,Pass,4096,0,0,0,-8.380,-8.364,-7.870,-0.016,4.000
6862051,Pass,4096,0,0,0,-8.212,-8.030,-7.671,-0.182,4.000
6862052,Pass,4096,0,0,0,-8.487,-8.376,-7.914,-0.111,4.000
6862053,Pass,4096,0,0,0,-8.097,-8.266,-7.684,0.169,4.000
6862054,Pass,4096,0,0,0,-8.367,-8.276,-7.866,-0.091,4.000
6862055,Pass,4096,0,0,0,-8.028,-7.837,-7.440,-0.191,4.000
6862056,Pass,4096,0,0,0,-8.107,-8.345,-7.821,0.238,4.000
6862057,Pass,4096,0,0,0,-8.214,-7.965,-7.797,-0.248,4.000
6862058,Pass,4096,0,0,0,-8.172,-8.274,-7.736,0.102,4.000
6862059,Pass,4096,0,0,0,-8.311,-8.335,-7.807,0.024,4.000
6862060,Pass,4096,0,0,0,-8.241,-8.213,-7.696,-0.027,4.000
6862061,Pass,4096,0,0,0,-8.236,-8.248,-7.673,0.012,4.000
6862062,Pass,4096,0,0,0,-8.140,-8.169,-7.766,0.029,4.000
6862063,Pass,4096,0,0,0,-8.051,-7.796,-7.340,-0.255,4.000
6862064,Pass,4096,0,0,0,-8.391,-8.061,-7.622,-0.329,4.000
6862065,Pass,4096,0,0,0,-7.774,-8.153,-7.490,0.379,4.000
6862066,Pass,4096,0,0,0,-7.853,-8.040,-7.535,0.188,4.000
6862067,Pass,4096,0,0,0,-7.894,-7.812,-7.432,-0.082,4.000
6862068,Pass,4096,0,0,0,-8.429,-8.113,-7.666,-0.316,4.000
6862069,Pass,4096,0,0,0,-7.941,-8.226,-7.515,0.285,4.000
6862070,Pass,4096,0,0,0,-8.258,-7.788,-7.384,-0.470,4.000
6862071,Pass,4096,0,0,0,-8.486,-8.137,-7.738,-0.349,4.000
6862072,Pass,4096,0,0,0,-8.329,-7.999,-7.711,-0.331,4.000
6862073,Pass,4096,0,0,0,-8.365,-8.332,-7.835,-0.032,4.000
6862074,Pass,4096,0,0,0,-8.002,-8.271,-7.619,0.269,4.000
