variant,outer_run,inner_rep,correctness,mode,r,h,r_prec,pvw_us,pvw_lane_us,scalar_repeated_us,scalar_lane_us,speedup_vs_repeated_scalar,source_log
perf_selected_control,0,0,Pass,include_zero,4,39,7,26185111,6546277.750,42328626,10582156.500,1.617,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_0.log
perf_selected_control,1,0,Pass,include_zero,4,39,7,26641540,6660385.000,42944256,10736064.000,1.612,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_1.log
perf_selected_control,2,0,Pass,include_zero,4,39,7,26645439,6661359.750,42052969,10513242.250,1.578,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_2.log
perf_selected_control,3,0,Pass,include_zero,4,39,7,26185352,6546338.000,42037610,10509402.500,1.605,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_3.log
perf_selected_control,4,0,Pass,include_zero,4,39,7,26175231,6543807.750,42334021,10583505.250,1.617,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_4.log
perf_selected_control,5,0,Pass,include_zero,4,39,7,26295895,6573973.750,42198082,10549520.500,1.605,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_5.log
perf_selected_control,6,0,Pass,include_zero,4,39,7,26017809,6504452.250,41893150,10473287.500,1.610,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_6.log
perf_selected_control,7,0,Pass,include_zero,4,39,7,26076039,6519009.750,41939189,10484797.250,1.608,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_7.log
perf_selected_control,8,0,Pass,include_zero,4,39,7,26458129,6614532.250,42060817,10515204.250,1.590,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_8.log
perf_selected_control,9,0,Pass,include_zero,4,39,7,26411413,6602853.250,42036619,10509154.750,1.592,repro/stage296_direct_dft_highstat/raw/perf_selected_control/run_9.log
perf_direct_dft,0,0,Pass,include_zero,4,39,7,24203326,6050831.500,41836560,10459140.000,1.729,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_0.log
perf_direct_dft,1,0,Pass,include_zero,4,39,7,23928943,5982235.750,42076405,10519101.250,1.758,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_1.log
perf_direct_dft,2,0,Pass,include_zero,4,39,7,24412387,6103096.750,43471873,10867968.250,1.781,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_2.log
perf_direct_dft,3,0,Pass,include_zero,4,39,7,24930349,6232587.250,41813840,10453460.000,1.677,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_3.log
perf_direct_dft,4,0,Pass,include_zero,4,39,7,24116827,6029206.750,42739063,10684765.750,1.772,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_4.log
perf_direct_dft,5,0,Pass,include_zero,4,39,7,24593664,6148416.000,42011662,10502915.500,1.708,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_5.log
perf_direct_dft,6,0,Pass,include_zero,4,39,7,24158032,6039508.000,42378566,10594641.500,1.754,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_6.log
perf_direct_dft,7,0,Pass,include_zero,4,39,7,24772163,6193040.750,42220612,10555153.000,1.704,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_7.log
perf_direct_dft,8,0,Pass,include_zero,4,39,7,24902389,6225597.250,43596684,10899171.000,1.751,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_8.log
perf_direct_dft,9,0,Pass,include_zero,4,39,7,24628162,6157040.500,42523660,10630915.000,1.727,repro/stage296_direct_dft_highstat/raw/perf_direct_dft/run_9.log
