run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,27275142.000,0.000,6818785.500,36365263.000,0.000,9091315.750,1.333,0.000
1,Pass,27492989.000,0.000,6873247.250,36754701.000,0.000,9188675.250,1.337,0.000
2,Pass,27341420.000,0.000,6835355.000,36931310.000,0.000,9232827.500,1.351,0.000
3,Pass,27684786.000,0.000,6921196.500,36370784.000,0.000,9092696.000,1.314,0.000
4,Pass,27779723.000,0.000,6944930.750,36645582.000,0.000,9161395.500,1.319,0.000
5,Pass,26635194.000,0.000,6658798.500,36674399.000,0.000,9168599.750,1.377,0.000
6,Pass,26235970.000,0.000,6558992.500,36097843.000,0.000,9024460.750,1.376,0.000
7,Pass,26056593.000,0.000,6514148.250,35999879.000,0.000,8999969.750,1.382,0.000
8,Pass,26330978.000,0.000,6582744.500,36777195.000,0.000,9194298.750,1.397,0.000
9,Pass,27795674.000,0.000,6948918.500,36718049.000,0.000,9179512.250,1.321,0.000
