branch,r,seed,negative_controls_checked,unexpected_matches,status
include_zero,1,0,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,1,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,2,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,3,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,4,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,5,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,6,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,7,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,8,8,0,PASS_NEGATIVE_CONTROL
include_zero,1,9,8,0,PASS_NEGATIVE_CONTROL
include_zero,2,0,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,1,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,2,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,3,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,4,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,5,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,6,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,7,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,8,16,0,PASS_NEGATIVE_CONTROL
include_zero,2,9,16,0,PASS_NEGATIVE_CONTROL
include_zero,4,0,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,1,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,2,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,3,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,4,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,5,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,6,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,7,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,8,32,0,PASS_NEGATIVE_CONTROL
include_zero,4,9,32,0,PASS_NEGATIVE_CONTROL
ternary,1,0,8,0,PASS_NEGATIVE_CONTROL
ternary,1,1,8,0,PASS_NEGATIVE_CONTROL
ternary,1,2,8,0,PASS_NEGATIVE_CONTROL
ternary,1,3,8,0,PASS_NEGATIVE_CONTROL
ternary,1,4,8,0,PASS_NEGATIVE_CONTROL
ternary,1,5,8,0,PASS_NEGATIVE_CONTROL
ternary,1,6,8,0,PASS_NEGATIVE_CONTROL
ternary,1,7,8,0,PASS_NEGATIVE_CONTROL
ternary,1,8,8,0,PASS_NEGATIVE_CONTROL
ternary,1,9,8,0,PASS_NEGATIVE_CONTROL
ternary,2,0,16,0,PASS_NEGATIVE_CONTROL
ternary,2,1,16,0,PASS_NEGATIVE_CONTROL
ternary,2,2,16,0,PASS_NEGATIVE_CONTROL
ternary,2,3,16,0,PASS_NEGATIVE_CONTROL
ternary,2,4,16,0,PASS_NEGATIVE_CONTROL
ternary,2,5,16,0,PASS_NEGATIVE_CONTROL
ternary,2,6,16,0,PASS_NEGATIVE_CONTROL
ternary,2,7,16,0,PASS_NEGATIVE_CONTROL
ternary,2,8,16,0,PASS_NEGATIVE_CONTROL
ternary,2,9,16,0,PASS_NEGATIVE_CONTROL
ternary,4,0,32,0,PASS_NEGATIVE_CONTROL
ternary,4,1,32,0,PASS_NEGATIVE_CONTROL
ternary,4,2,32,0,PASS_NEGATIVE_CONTROL
ternary,4,3,32,0,PASS_NEGATIVE_CONTROL
ternary,4,4,32,0,PASS_NEGATIVE_CONTROL
ternary,4,5,32,0,PASS_NEGATIVE_CONTROL
ternary,4,6,32,0,PASS_NEGATIVE_CONTROL
ternary,4,7,32,0,PASS_NEGATIVE_CONTROL
ternary,4,8,32,0,PASS_NEGATIVE_CONTROL
ternary,4,9,32,0,PASS_NEGATIVE_CONTROL
