variant,component,control_component_us,variant_component_us,control_over_variant,status
backend_from_dft_add,rgsw_monomial,27818471.000,26931750.000,1.032925,reduced
backend_from_dft_add,cmux_total,27622819.000,26732865.000,1.033291,reduced
backend_from_dft_add,mat_ep,13211633.000,12878588.000,1.025860,reduced
backend_from_dft_add,cmux_from_dft,6432727.000,9450331.000,0.680688,not_reduced
backend_from_dft_add,cmux_add,3969727.000,0.000,,reduced
backend_from_dft_add,cmux_sub,3911424.000,4330589.000,0.903208,not_reduced
backend_from_dft_add,ncmux_total,430930.000,419601.000,1.026999,reduced
backend_from_dft_add,ncmux_auto,165895.000,166810.000,0.994515,not_reduced
backend_from_dft_add,dual_sub_pair,0.000,0.000,,not_reduced
backend_from_dft_add,sub_a_total,651957.000,661803.000,0.985122,not_reduced
backend_from_dft_add,sub_a_rotate,527840.000,534858.000,0.986879,not_reduced
backend_from_dft_add,copyback,0.000,0.000,,not_reduced
sub_decomp_avx,rgsw_monomial,27818471.000,26711243.000,1.041452,reduced
sub_decomp_avx,cmux_total,27622819.000,26514203.000,1.041812,reduced
sub_decomp_avx,mat_ep,13211633.000,16011274.000,0.825146,not_reduced
sub_decomp_avx,cmux_from_dft,6432727.000,6393079.000,1.006202,reduced
sub_decomp_avx,cmux_add,3969727.000,4022434.000,0.986897,not_reduced
sub_decomp_avx,cmux_sub,3911424.000,0.000,,reduced
sub_decomp_avx,ncmux_total,430930.000,411683.000,1.046752,reduced
sub_decomp_avx,ncmux_auto,165895.000,164792.000,1.006693,reduced
sub_decomp_avx,dual_sub_pair,0.000,0.000,,not_reduced
sub_decomp_avx,sub_a_total,651957.000,644875.000,1.010982,reduced
sub_decomp_avx,sub_a_rotate,527840.000,520798.000,1.013522,reduced
sub_decomp_avx,copyback,0.000,0.000,,not_reduced
backend_sub_decomp_avx,rgsw_monomial,27818471.000,25739986.000,1.080749,reduced
backend_sub_decomp_avx,cmux_total,27622819.000,25548711.000,1.081182,reduced
backend_sub_decomp_avx,mat_ep,13211633.000,16068539.000,0.822205,not_reduced
backend_sub_decomp_avx,cmux_from_dft,6432727.000,9423998.000,0.682590,not_reduced
backend_sub_decomp_avx,cmux_add,3969727.000,0.000,,reduced
backend_sub_decomp_avx,cmux_sub,3911424.000,0.000,,reduced
backend_sub_decomp_avx,ncmux_total,430930.000,408977.000,1.053678,reduced
backend_sub_decomp_avx,ncmux_auto,165895.000,164009.000,1.011499,reduced
backend_sub_decomp_avx,dual_sub_pair,0.000,0.000,,not_reduced
backend_sub_decomp_avx,sub_a_total,651957.000,656247.000,0.993463,not_reduced
backend_sub_decomp_avx,sub_a_rotate,527840.000,527935.000,0.999820,not_reduced
backend_sub_decomp_avx,copyback,0.000,0.000,,not_reduced
backend_sub_decomp_dual,rgsw_monomial,27818471.000,25310370.000,1.099094,reduced
backend_sub_decomp_dual,cmux_total,27622819.000,25056781.000,1.102409,reduced
backend_sub_decomp_dual,mat_ep,13211633.000,15691590.000,0.841956,not_reduced
backend_sub_decomp_dual,cmux_from_dft,6432727.000,9309145.000,0.691012,not_reduced
backend_sub_decomp_dual,cmux_add,3969727.000,0.000,,reduced
backend_sub_decomp_dual,cmux_sub,3911424.000,58925.000,66.379703,reduced
backend_sub_decomp_dual,ncmux_total,430930.000,446063.000,0.966074,not_reduced
backend_sub_decomp_dual,ncmux_auto,165895.000,166834.000,0.994372,not_reduced
backend_sub_decomp_dual,dual_sub_pair,0.000,58925.000,,not_reduced
backend_sub_decomp_dual,sub_a_total,651957.000,648760.000,1.004928,reduced
backend_sub_decomp_dual,sub_a_rotate,527840.000,526731.000,1.002105,reduced
backend_sub_decomp_dual,copyback,0.000,0.000,,not_reduced
