artifact,purpose,producer
docs/current_codex_goal_sab_completion.md,Current Codex goal and completion route,scripts/run_stage99_external_blocker_reprobe.sh
experiments/stage99_external_blocker_reprobe_plan.md,Stage99 experiment plan,scripts/run_stage99_external_blocker_reprobe.sh
scripts/run_stage99_external_blocker_reprobe.sh,Stage99 runner,scripts/run_stage99_external_blocker_reprobe.sh
scripts/build_stage99_external_blocker_reprobe.py,Stage99 summary builder,scripts/build_stage99_external_blocker_reprobe.py
docs/stage99_external_blocker_reprobe_log.md,Human-readable Stage99 log,scripts/build_stage99_external_blocker_reprobe.py
repro/stage99_external_blocker_reprobe/summary.csv,Stage99 gate summary,scripts/build_stage99_external_blocker_reprobe.py
repro/stage99_external_blocker_reprobe/route_matrix.csv,Public route matrix distilled from Stage27,scripts/build_stage99_external_blocker_reprobe.py
repro/stage99_external_blocker_reprobe/local_fulltext_search.csv,Local full-text candidate search,scripts/run_stage99_external_blocker_reprobe.sh
repro/stage99_external_blocker_reprobe/artifact_index.csv,Stage99 artifact index,scripts/build_stage99_external_blocker_reprobe.py
repro/stage99_external_blocker_reprobe/stage99_run.log,Stage99 wrapper log,scripts/run_stage99_external_blocker_reprobe.sh
repro/stage99_external_blocker_reprobe/native_perf_probe.log,Native perf probe wrapper log,scripts/run_stage99_external_blocker_reprobe.sh
repro/stage99_external_blocker_reprobe/citation_probe.log,Citation/source probe wrapper log,scripts/run_stage99_external_blocker_reprobe.sh
repro/stage99_external_blocker_reprobe/native_perf_probe/summary.csv,Stage28 native perf summary under Stage99,scripts/build_stage99_external_blocker_reprobe.py
repro/stage99_external_blocker_reprobe/native_perf_probe/environment.log,Stage99 native perf environment,scripts/run_stage99_external_blocker_reprobe.sh
repro/stage99_external_blocker_reprobe/native_perf_probe/perf_smoke.log,Stage99 native perf smoke log,scripts/run_stage99_external_blocker_reprobe.sh
repro/stage99_external_blocker_reprobe/citation_probe/summary.csv,Stage27 citation summary under Stage99,scripts/build_stage99_external_blocker_reprobe.py
repro/stage99_external_blocker_reprobe/citation_probe/access_probe.csv,Stage27 access probe under Stage99,scripts/run_stage99_external_blocker_reprobe.sh
