run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,53433272.000,0.000,13358318.000,71230075.000,0.000,17807518.750,1.333,0.000
1,Pass,53800434.000,0.000,13450108.500,71740481.000,0.000,17935120.250,1.333,0.000
2,Pass,53902820.000,0.000,13475705.000,71815313.000,0.000,17953828.250,1.332,0.000
3,Pass,55024876.000,0.000,13756219.000,74411252.000,0.000,18602813.000,1.352,0.000
4,Pass,54914078.000,0.000,13728519.500,73288222.000,0.000,18322055.500,1.335,0.000
5,Pass,55409325.000,0.000,13852331.250,72915446.000,0.000,18228861.500,1.316,0.000
6,Pass,54979632.000,0.000,13744908.000,73164880.000,0.000,18291220.000,1.331,0.000
7,Pass,54614957.000,0.000,13653739.250,73314731.000,0.000,18328682.750,1.342,0.000
8,Pass,55857441.000,0.000,13964360.250,72074366.000,0.000,18018591.500,1.290,0.000
9,Pass,55630541.000,0.000,13907635.250,74114556.000,0.000,18528639.000,1.332,0.000
