artifact,status,sha256,bytes
repro/stage260_nonbinary_full_sab_noise_resource/build_ffnt_nonbinary_full_noise.log,present,f61e06b14f0df81fe5b186e1280ca73ae71abebb36490df14a41f5ff222b54f7,147112
repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log,present,75197d1c0b4fec4066578ba5e68b44dab7eddb798e8804ce66b810b241ba1e10,60706
repro/stage260_nonbinary_full_sab_noise_resource/clean_nonbinary_full_noise.log,present,efab7488ff59f8aa73969fb2367077978e85513a17c8efc776213feccc296773,44
repro/stage260_nonbinary_full_sab_noise_resource/build_ffnt_default_binary.log,present,26b49fa43ace07a29e6ec0d0f60348d75ac3e3985d3cd6812433f3e14e5c684a,138572
repro/stage260_nonbinary_full_sab_noise_resource/clean_default.log,present,efab7488ff59f8aa73969fb2367077978e85513a17c8efc776213feccc296773,44
repro/stage260_nonbinary_full_sab_noise_resource/final_noise_summary.csv,present,3eb40222bab47b93ede17b6c53759905961400a6cb544ea6bc6eab08d9ecaa11,1027
repro/stage260_nonbinary_full_sab_noise_resource/stage_noise_summary.csv,present,80650f52d4102a06ce46b2fe9c6f7def004e2bb713ea96ca035fdc3117899062,4031
repro/stage260_nonbinary_full_sab_noise_resource/resource_summary.csv,present,444166e28caf2e76462928af413219bfbefb454b15a2610e4e1a3abbdde0aadc,1117
repro/stage260_nonbinary_full_sab_noise_resource/source_matrix.csv,present,64243f60b35c7cd31503ff25b90e4c43211d2e71a292d33cd2ac65910a7a9239,642
repro/stage260_nonbinary_full_sab_noise_resource/implementation_admission.csv,present,dbf3cfbb32ff98df6537bce4be8b64486912eca7ab704648955a9aa94d3b32e7,626
repro/stage260_nonbinary_full_sab_noise_resource/claim_boundary.csv,present,3229dd730651f7b53898e404c7d4f2a13a78594c001795f9c8baea6ae3e91f74,1116
repro/stage260_nonbinary_full_sab_noise_resource/proof_gate.csv,present,723fb75f88e13c3bf44e92d6cac7560b7a197abff3c01b4cd76145e8a282a151,1490
repro/stage260_nonbinary_full_sab_noise_resource/reproduction_commands.md,present,c9eb4622c65c085cfc4218d7c1693862954c04b4edc5d3201cb88180254d9f86,462
repro/stage260_nonbinary_full_sab_noise_resource/stage260_report.md,present,fcd0161e0deccaab888b72580d30ce02af6f4e9e58734f763a3f3e23c8cf4f68,8465
docs/stage260_nonbinary_full_sab_noise_resource.md,present,fcd0161e0deccaab888b72580d30ce02af6f4e9e58734f763a3f3e23c8cf4f68,8465
experiments/stage260_nonbinary_full_sab_noise_resource_plan.md,present,1a2c9d48b4d16458a1fb9dad37475dc14f12da911fda8b6ebfa7ef6d59e1f0a6,879
theory_checks/stage260_nonbinary_full_sab_noise_resource_scope.md,present,9772b21a765389ea5ac8c4a58f097860b7b42122ed0365cb2d148fc0baaa2077,671
algorithm_variants/mat_rlwe_sab_stage260_nonbinary_full_sab_noise_resource.md,present,65470e795d8a18cec0dcf72d20b36bec5de9d171026d8d8538f8cd741859f6a1,675
