id,title,authors_year,venue_or_archive,url,verified_source,relation_to_project,similarity,difference,novelty_risk,local_claim_allowed
GP2025_686,Fast amortized bootstrapping with small keys and polynomial noise overhead,Antonio Guimaraes; Hilder V. L. Pereira; 2025,IACR ePrint 2025/686; repository states to appear at CCS 2025,https://eprint.iacr.org/2025/686,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,Target baseline; current repository implements and extends this SAB line.,"Sparse amortized bootstrapping, small keys, polynomial noise overhead, AVX512-oriented implementation.",Our work changes implementation/representation using PVW/MAT r-body lanes and measures T_bootstrap/r against repeated scalar SAB.,HIGH_BASELINE,Use as baseline and target algorithm only.
PDMHSY2025_696,Faster amortized bootstrapping using the incomplete NTT for free,Thales B. Paiva; Gabrielle De Micheli; Syed Mahbub Hafiz; Marcos A. Simplicio Jr.; Bahattin Yildiz; 2025,IACR ePrint 2025/696,https://eprint.iacr.org/2025/696,https://eprint.iacr.org/2025/696,Direct post-686 adjacent work.,Improves amortized bootstrapping around the Guimaraes et al. line via NTT strategy and reports speed/DFR tradeoffs.,"Optimizes NTT/amortized algorithm, not PVW/MAT shared-mask r-body external product in this codebase.",HIGH_DIRECT_ADJACENT,Any paper claim must compare or position against this work.
GPL2023_014,"Amortized Bootstrapping Revisited: Simpler, Asymptotically-faster, Implemented",Antonio Guimaraes; Hilder V. L. Pereira; Barry van Leeuwen; 2023,IACR ePrint 2023/014; ASIACRYPT 2023,https://eprint.iacr.org/2023/014,https://eprint.iacr.org/2023/014,Algorithmic ancestor for practical amortized bootstrapping.,Amortized bootstrapping with concrete implementation; double-CRT GSW and shrinking.,Not the sparse 2025/686 SAB implementation and not our PVW/MAT r-body path.,MEDIUM_LINEAGE,Cite as lineage and complexity context.
DKMS2023_112,Faster Amortized FHEW bootstrapping using Ring Automorphisms,Gabrielle De Micheli; Duhyeong Kim; Daniele Micciancio; Adam Suhl; 2023/PKC 2024,IACR ePrint 2023/112; PKC 2024,https://eprint.iacr.org/2023/112,https://eprint.iacr.org/2023/112,Adjacent amortized FHEW algorithmic work.,Uses NTT/ring automorphisms and scheme switching to reduce amortized bootstrapping overhead.,Not 686 SAB and not PVW/MAT shared-mask external product.,MEDIUM_ADJACENT,Cite for amortized bootstrapping landscape.
LW2023_910,"Amortized Functional Bootstrapping in less than 7ms, with O~(1) polynomial multiplications",Zeyu Liu; Yunhao Wang; 2023,IACR ePrint 2023/910; ASIACRYPT 2023,https://eprint.iacr.org/2023/910,https://eprint.iacr.org/2023/910,Adjacent batch functional bootstrapping.,Amortized/batched LWE bootstrapping with concrete implementation and per-ciphertext timing claims.,Different framework/objective; not sparse 686 SAB and not MAT external-product batching.,MEDIUM_ADJACENT,Cite for amortized functional bootstrapping context.
LW2023_BatchI_II,Batch Bootstrapping I/II,Feng-Hao Liu; Han Wang; 2023,EUROCRYPT 2023,https://link.springer.com/content/pdf/10.1007/978-3-031-30620-4_11.pdf,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_12,Alternative SIMD/batch bootstrapping framework.,Batch/SIMD bootstrapping in polynomial modulus; relevant to amortized throughput claims.,Different mathematical framework and not 686 sparse schedule/PVW-MAT path.,MEDIUM_ADJACENT,Cite as adjacent batch bootstrapping prior art.
BGH2012_565,Packed Ciphertexts in LWE-Based Homomorphic Encryption,Zvika Brakerski; Craig Gentry; Shai Halevi; 2012,IACR ePrint 2012/565,https://eprint.iacr.org/2012/565,https://link.springer.com/chapter/10.1007/978-3-642-36362-7_1,PVW packing ancestry.,Uses Peikert-Vaikuntanathan-Waters packing for SIMD-style LWE ciphertexts.,"Packing primitive/background, not SAB external-product algorithm.",LOW_BACKGROUND_HIGH_IF_PACKING_CLAIM,Cite for PVW packing background; do not claim PVW packing as new.
CGGI2018_421,TFHE: Fast Fully Homomorphic Encryption over the Torus,Ilaria Chillotti; Nicolas Gama; Mariya Georgieva; Malika Izabachene; 2018/2019,IACR ePrint 2018/421; Journal of Cryptology 2019,https://eprint.iacr.org/2018/421,https://eprint.iacr.org/2018/421,TFHE/GSW external-product baseline.,External product between GSW and LWE/RLWE-like ciphertexts; bootstrapping and packed operations.,Not amortized 686 SAB and not current MAT/PVW multi-body implementation.,BACKGROUND_REQUIRED,Cite for TFHE/external-product background.
DM2014_816,FHEW: Bootstrapping Homomorphic Encryption in less than a second,Leo Ducas; Daniele Micciancio; 2014/2015,IACR ePrint 2014/816; EUROCRYPT 2015,https://eprint.iacr.org/2014/816,https://eprint.iacr.org/2014/816,FHEW predecessor to TFHE/amortized FHEW lines.,Bootstrapping of bit operations and FHEW-style lineage.,"Single/sequential bootstrapping baseline, not multi-lane MAT-SAB.",BACKGROUND_REQUIRED,Cite for FHEW background.
MS2018_ICALP,Ring Packing and Amortized FHEW Bootstrapping,Daniele Micciancio; Jessica Sorrell; 2018,ICALP 2018,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2018.100,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2018.100,Original amortized FHEW-style bootstrapping line.,Refreshes many messages simultaneously and establishes amortized FHEW bootstrapping context.,"Earlier ring-packing/Nussbaumer-style line, not sparse 686 SAB or PVW/MAT external-product batching.",BACKGROUND_REQUIRED,Cite for original amortized bootstrapping context.
