param,r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pvw_minus_scalar_log2,source_log
SET_2_3_4096,4,6863025,Pass,16384,0,0,0,-7.581,-7.870,0.289,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863025.log
SET_2_3_4096,4,6863026,Pass,16384,0,0,0,-7.737,-7.612,-0.125,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863026.log
SET_2_3_4096,4,6863027,Pass,16384,0,0,0,-7.564,-7.651,0.087,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863027.log
SET_2_3_4096,4,6863028,Pass,16384,0,0,0,-7.838,-7.535,-0.302,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863028.log
SET_2_3_4096,4,6863029,Pass,16384,0,0,0,-7.297,-7.704,0.407,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863029.log
SET_2_3_4096,4,6863030,Pass,16384,0,0,0,-7.796,-7.746,-0.050,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863030.log
SET_2_3_4096,4,6863031,Pass,16384,0,0,0,-7.573,-7.710,0.138,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863031.log
SET_2_3_4096,4,6863032,Pass,16384,0,0,0,-7.706,-7.860,0.154,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863032.log
SET_2_3_4096,4,6863033,Pass,16384,0,0,0,-7.954,-7.838,-0.115,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863033.log
SET_2_3_4096,4,6863034,Pass,16384,0,0,0,-7.637,-7.609,-0.029,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863034.log
SET_2_3_4096,4,6863035,Pass,16384,0,0,0,-7.213,-7.807,0.595,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863035.log
SET_2_3_4096,4,6863036,Pass,16384,0,0,0,-7.653,-7.767,0.114,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863036.log
SET_2_3_4096,4,6863037,Pass,16384,0,0,0,-7.860,-7.601,-0.259,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863037.log
SET_2_3_4096,4,6863038,Pass,16384,0,0,0,-7.744,-7.627,-0.117,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863038.log
SET_2_3_4096,4,6863039,Pass,16384,0,0,0,-7.948,-7.898,-0.050,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863039.log
SET_2_3_4096,4,6863040,Pass,16384,0,0,0,-7.644,-7.685,0.040,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863040.log
SET_2_3_4096,4,6863041,Pass,16384,0,0,0,-7.693,-7.630,-0.063,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863041.log
SET_2_3_4096,4,6863042,Pass,16384,0,0,0,-8.010,-7.748,-0.262,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863042.log
SET_2_3_4096,4,6863043,Pass,16384,0,0,0,-7.822,-7.771,-0.051,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863043.log
SET_2_3_4096,4,6863044,Pass,16384,0,0,0,-7.637,-7.815,0.178,repro/stage236_set_2_3_4096_r4_runs10_seeds20/noise_SET_2_3_4096_r4_seeds20/r4/seed_6863044.log
