r,N,seed,modulus,root_status,roundtrip_mismatches,phase_mismatches,noisy_phase_mismatches,noise_bound_violations,max_abs_phase_error,max_abs_noisy_phase_error,max_abs_noise,max_noise_bound,requested_bytes,rss_kb,status
2,32,0,12289,PASS_ROOT,0,0,0,0,0,0,6,6,20896,1096,PASS_DFT_CONVERSION
2,32,1,12289,PASS_ROOT,0,0,0,0,0,0,6,6,20896,1096,PASS_DFT_CONVERSION
2,32,2,12289,PASS_ROOT,0,0,0,0,0,0,6,6,20896,1096,PASS_DFT_CONVERSION
2,32,3,12289,PASS_ROOT,0,0,0,0,0,0,6,6,20896,1096,PASS_DFT_CONVERSION
2,32,4,12289,PASS_ROOT,0,0,0,0,0,0,6,6,20896,1096,PASS_DFT_CONVERSION
2,64,0,12289,PASS_ROOT,0,0,0,0,0,0,6,6,41376,1096,PASS_DFT_CONVERSION
2,64,1,12289,PASS_ROOT,0,0,0,0,0,0,6,6,41376,1096,PASS_DFT_CONVERSION
2,64,2,12289,PASS_ROOT,0,0,0,0,0,0,6,6,41376,1096,PASS_DFT_CONVERSION
2,64,3,12289,PASS_ROOT,0,0,0,0,0,0,6,6,41376,1096,PASS_DFT_CONVERSION
2,64,4,12289,PASS_ROOT,0,0,0,0,0,0,6,6,41376,1096,PASS_DFT_CONVERSION
4,32,0,12289,PASS_ROOT,0,0,0,0,0,0,6,6,39648,1096,PASS_DFT_CONVERSION
4,32,1,12289,PASS_ROOT,0,0,0,0,0,0,6,6,39648,1096,PASS_DFT_CONVERSION
4,32,2,12289,PASS_ROOT,0,0,0,0,0,0,6,6,39648,1096,PASS_DFT_CONVERSION
4,32,3,12289,PASS_ROOT,0,0,0,0,0,0,6,6,39648,1096,PASS_DFT_CONVERSION
4,32,4,12289,PASS_ROOT,0,0,0,0,0,0,6,6,39648,1096,PASS_DFT_CONVERSION
4,64,0,12289,PASS_ROOT,0,0,0,0,0,0,6,6,78560,1096,PASS_DFT_CONVERSION
4,64,1,12289,PASS_ROOT,0,0,0,0,0,0,6,6,78560,1096,PASS_DFT_CONVERSION
4,64,2,12289,PASS_ROOT,0,0,0,0,0,0,6,6,78560,1096,PASS_DFT_CONVERSION
4,64,3,12289,PASS_ROOT,0,0,0,0,0,0,6,6,78560,1096,PASS_DFT_CONVERSION
4,64,4,12289,PASS_ROOT,0,0,0,0,0,0,6,6,78560,1096,PASS_DFT_CONVERSION
6,32,0,12289,PASS_ROOT,0,0,0,0,0,0,6,6,58400,1096,PASS_DFT_CONVERSION
6,32,1,12289,PASS_ROOT,0,0,0,0,0,0,6,6,58400,1096,PASS_DFT_CONVERSION
6,32,2,12289,PASS_ROOT,0,0,0,0,0,0,6,6,58400,1096,PASS_DFT_CONVERSION
6,32,3,12289,PASS_ROOT,0,0,0,0,0,0,6,6,58400,1096,PASS_DFT_CONVERSION
6,32,4,12289,PASS_ROOT,0,0,0,0,0,0,6,6,58400,1096,PASS_DFT_CONVERSION
6,64,0,12289,PASS_ROOT,0,0,0,0,0,0,6,6,115744,1096,PASS_DFT_CONVERSION
6,64,1,12289,PASS_ROOT,0,0,0,0,0,0,6,6,115744,1096,PASS_DFT_CONVERSION
6,64,2,12289,PASS_ROOT,0,0,0,0,0,0,6,6,115744,1096,PASS_DFT_CONVERSION
6,64,3,12289,PASS_ROOT,0,0,0,0,0,0,6,6,115744,1096,PASS_DFT_CONVERSION
6,64,4,12289,PASS_ROOT,0,0,0,0,0,0,6,6,115744,1096,PASS_DFT_CONVERSION
