r,row,col,equation_class,semantic_role,is_public_row,may_skip_after_proof
2,0,0,semantic_zero_dummy,dummy_zero,1,1
2,0,1,mask_output_from_body_input,active,1,0
2,0,2,mask_output_from_body_input,active,1,0
2,1,0,body_output_from_mask_input,active,1,0
2,1,1,lane_self_body_interaction,active,1,0
2,1,2,lane_neighbor_body_interaction,active,1,0
2,2,0,body_output_from_mask_input,active,1,0
2,2,1,lane_neighbor_body_interaction,active,1,0
2,2,2,lane_self_body_interaction,active,1,0
4,0,0,semantic_zero_dummy,dummy_zero,1,1
4,0,1,mask_output_from_body_input,active,1,0
4,0,2,mask_output_from_body_input,active,1,0
4,0,3,mask_output_from_body_input,active,1,0
4,0,4,mask_output_from_body_input,active,1,0
4,1,0,body_output_from_mask_input,active,1,0
4,1,1,lane_self_body_interaction,active,1,0
4,1,2,lane_neighbor_body_interaction,active,1,0
4,1,3,semantic_zero_dummy,dummy_zero,1,1
4,1,4,semantic_zero_dummy,dummy_zero,1,1
4,2,0,body_output_from_mask_input,active,1,0
4,2,1,semantic_zero_dummy,dummy_zero,1,1
4,2,2,lane_self_body_interaction,active,1,0
4,2,3,lane_neighbor_body_interaction,active,1,0
4,2,4,semantic_zero_dummy,dummy_zero,1,1
4,3,0,body_output_from_mask_input,active,1,0
4,3,1,semantic_zero_dummy,dummy_zero,1,1
4,3,2,semantic_zero_dummy,dummy_zero,1,1
4,3,3,lane_self_body_interaction,active,1,0
4,3,4,lane_neighbor_body_interaction,active,1,0
4,4,0,body_output_from_mask_input,active,1,0
4,4,1,lane_neighbor_body_interaction,active,1,0
4,4,2,semantic_zero_dummy,dummy_zero,1,1
4,4,3,semantic_zero_dummy,dummy_zero,1,1
4,4,4,lane_self_body_interaction,active,1,0
6,0,0,semantic_zero_dummy,dummy_zero,1,1
6,0,1,mask_output_from_body_input,active,1,0
6,0,2,mask_output_from_body_input,active,1,0
6,0,3,mask_output_from_body_input,active,1,0
6,0,4,mask_output_from_body_input,active,1,0
6,0,5,mask_output_from_body_input,active,1,0
6,0,6,mask_output_from_body_input,active,1,0
6,1,0,body_output_from_mask_input,active,1,0
6,1,1,lane_self_body_interaction,active,1,0
6,1,2,lane_neighbor_body_interaction,active,1,0
6,1,3,semantic_zero_dummy,dummy_zero,1,1
6,1,4,semantic_zero_dummy,dummy_zero,1,1
6,1,5,semantic_zero_dummy,dummy_zero,1,1
6,1,6,semantic_zero_dummy,dummy_zero,1,1
6,2,0,body_output_from_mask_input,active,1,0
6,2,1,semantic_zero_dummy,dummy_zero,1,1
6,2,2,lane_self_body_interaction,active,1,0
6,2,3,lane_neighbor_body_interaction,active,1,0
6,2,4,semantic_zero_dummy,dummy_zero,1,1
6,2,5,semantic_zero_dummy,dummy_zero,1,1
6,2,6,semantic_zero_dummy,dummy_zero,1,1
6,3,0,body_output_from_mask_input,active,1,0
6,3,1,semantic_zero_dummy,dummy_zero,1,1
6,3,2,semantic_zero_dummy,dummy_zero,1,1
6,3,3,lane_self_body_interaction,active,1,0
6,3,4,lane_neighbor_body_interaction,active,1,0
6,3,5,semantic_zero_dummy,dummy_zero,1,1
6,3,6,semantic_zero_dummy,dummy_zero,1,1
6,4,0,body_output_from_mask_input,active,1,0
6,4,1,semantic_zero_dummy,dummy_zero,1,1
6,4,2,semantic_zero_dummy,dummy_zero,1,1
6,4,3,semantic_zero_dummy,dummy_zero,1,1
6,4,4,lane_self_body_interaction,active,1,0
6,4,5,lane_neighbor_body_interaction,active,1,0
6,4,6,semantic_zero_dummy,dummy_zero,1,1
6,5,0,body_output_from_mask_input,active,1,0
6,5,1,semantic_zero_dummy,dummy_zero,1,1
6,5,2,semantic_zero_dummy,dummy_zero,1,1
6,5,3,semantic_zero_dummy,dummy_zero,1,1
6,5,4,semantic_zero_dummy,dummy_zero,1,1
6,5,5,lane_self_body_interaction,active,1,0
6,5,6,lane_neighbor_body_interaction,active,1,0
6,6,0,body_output_from_mask_input,active,1,0
6,6,1,lane_neighbor_body_interaction,active,1,0
6,6,2,semantic_zero_dummy,dummy_zero,1,1
6,6,3,semantic_zero_dummy,dummy_zero,1,1
6,6,4,semantic_zero_dummy,dummy_zero,1,1
6,6,5,semantic_zero_dummy,dummy_zero,1,1
6,6,6,lane_self_body_interaction,active,1,0
