run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,16494285.000,0.000,8247142.500,20916679.000,0.000,10458339.500,1.268,0.000
1,Pass,16437060.000,0.000,8218530.000,20892855.000,0.000,10446427.500,1.271,0.000
2,Pass,16561307.000,0.000,8280653.500,21163918.000,0.000,10581959.000,1.278,0.000
3,Pass,16762402.000,0.000,8381201.000,20906015.000,0.000,10453007.500,1.247,0.000
4,Pass,16493423.000,0.000,8246711.500,20887525.000,0.000,10443762.500,1.266,0.000
5,Pass,16660889.000,0.000,8330444.500,20862584.000,0.000,10431292.000,1.252,0.000
6,Pass,16563845.000,0.000,8281922.500,20788389.000,0.000,10394194.500,1.255,0.000
7,Pass,16672364.000,0.000,8336182.000,21110147.000,0.000,10555073.500,1.266,0.000
8,Pass,16282042.000,0.000,8141021.000,20988507.000,0.000,10494253.500,1.289,0.000
9,Pass,16709191.000,0.000,8354595.500,20971594.000,0.000,10485797.000,1.255,0.000
