artifact,exists,sha256,bytes
docs/stage254_nonbinary_keygen_noise_preflight.md,yes,d97153c6403947de810053622cb3ca35bb38a7c3dc8df1b05ea89ac12bb6e97d,9888
experiments/stage254_nonbinary_keygen_noise_preflight_plan.md,yes,207623308bec7fedc72acfbb1626eb9fb75e8b107a94f1ac1a50a7d079a1537a,443
theory_checks/stage254_nonbinary_keygen_noise_preflight_model.md,yes,0a9194ceffb5057b0ad079e858b0fd3ee4b56833c38be63e34ec28594e5413a5,562
algorithm_variants/mat_rlwe_sab_stage254_nonbinary_keygen_noise_preflight.md,yes,81a9721bc994c1d855b020376dc915f0c065cd2f2b17386333ffbdbc94e89c80,256
repro/stage254_nonbinary_keygen_noise_preflight/input_status.csv,yes,c2c10156ebde08273c0d02092525fbda4ec10788d8c14a5255e5cfe0e46416fe,719
repro/stage254_nonbinary_keygen_noise_preflight/source_capability_matrix.csv,yes,30e0404577baff6bcb689734b837210c182c73581c04b1c177dc7812b6233862,614
repro/stage254_nonbinary_keygen_noise_preflight/selector_keygen_design.csv,yes,3a061368fbb0a5db3a8c4e17140dfbaeea48912161284dbda5c11b9800fb83f1,519
repro/stage254_nonbinary_keygen_noise_preflight/cost_projection.csv,yes,e76023e5f52410ad1b82ff85267c8a63250e84d84de941478cafffb57aa385a5,1233
repro/stage254_nonbinary_keygen_noise_preflight/noise_obligation_matrix.csv,yes,eafb8777ea2d7b0edbdec5abc16fc4396be4d5223027b39b3ed3e455e8416d3c,645
repro/stage254_nonbinary_keygen_noise_preflight/resource_obligation_matrix.csv,yes,8c78cdafca69fa6460a4f9ca1781940b8cce1d1c27a9e8ed2a5314f466cda521,1396
repro/stage254_nonbinary_keygen_noise_preflight/implementation_admission.csv,yes,b7230ec83d664d974058da5905c2002862ee51dbe9ec7989ab4e286ddc64f8c8,620
repro/stage254_nonbinary_keygen_noise_preflight/claim_boundary.csv,yes,d9332716c89b9e5b3344abb91ba34ee5dc18150a080021ecf399e7bb57085b7f,736
repro/stage254_nonbinary_keygen_noise_preflight/proof_gate.csv,yes,d05efc5c69f0a76ff76738909125f7756983311e298b15c53ae4d691e8dedacc,1520
repro/stage254_nonbinary_keygen_noise_preflight/next_stage_queue.csv,yes,0bb4f0741c29302bc418dc7e907bd7e1bd2ee83b4e6a17f770dfa025dd418cb1,926
repro/stage254_nonbinary_keygen_noise_preflight/stage254_report.md,yes,570ded2ae6a7a9a8a2fc6557cab3a9f7780d67eb10926061b2be6961e58fe8ae,616
repro/stage254_nonbinary_keygen_noise_preflight/reproduction_commands.md,yes,381fde01ffe84abc9e244a5a3975cfc037ea9083cafcf4639e80c03227633eae,286
