param,r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_minus_scalar_log2,source_log
SET_4_5_2048,2,6863025,Pass,4096,0,0,0,-0.176,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863025.log
SET_4_5_2048,2,6863026,Pass,4096,0,0,0,-0.164,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863026.log
SET_4_5_2048,2,6863027,Pass,4096,0,0,0,0.470,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863027.log
SET_4_5_2048,2,6863028,Pass,4096,0,0,0,0.201,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863028.log
SET_4_5_2048,2,6863029,Pass,4096,0,0,0,-0.195,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863029.log
SET_4_5_2048,2,6863030,Pass,4096,0,0,0,-0.005,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863030.log
SET_4_5_2048,2,6863031,Pass,4096,0,0,0,0.242,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863031.log
SET_4_5_2048,2,6863032,Pass,4096,0,0,0,-0.261,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863032.log
SET_4_5_2048,2,6863033,Pass,4096,0,0,0,-0.194,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863033.log
SET_4_5_2048,2,6863034,Pass,4096,0,0,0,-0.012,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863034.log
SET_4_5_2048,2,6863035,Pass,4096,0,0,0,-0.044,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863035.log
SET_4_5_2048,2,6863036,Pass,4096,0,0,0,0.136,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863036.log
SET_4_5_2048,2,6863037,Pass,4096,0,0,0,0.166,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863037.log
SET_4_5_2048,2,6863038,Pass,4096,0,0,0,-0.228,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863038.log
SET_4_5_2048,2,6863039,Pass,4096,0,0,0,0.095,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863039.log
SET_4_5_2048,2,6863040,Pass,4096,0,0,0,-0.114,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863040.log
SET_4_5_2048,2,6863041,Pass,4096,0,0,0,-0.368,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863041.log
SET_4_5_2048,2,6863042,Pass,4096,0,0,0,-0.329,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863042.log
SET_4_5_2048,2,6863043,Pass,4096,0,0,0,0.092,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863043.log
SET_4_5_2048,2,6863044,Pass,4096,0,0,0,-0.224,repro/stage234_set_4_5_2048_r2_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863044.log
