artifact,exists,bytes,sha256
docs/stage337_frontier_correction.md,True,1612,6290ff6fb0b00c81df313365f1e868a545e8d2025f4b2d92c39309c3953a4167
theory_checks/stage337_frontier_correction_model.md,True,666,d4b01596508dbe74f74008ed64e8507bb63b399f3eaacd5c88592644357b6db9
experiments/stage338_new_mechanism_or_proof_plan.md,True,631,31adb490be7ea65917902197c0beb7411014af6b1a7059b41d87b8dd796bf1a0
scripts/build_stage337_frontier_correction.py,True,18852,de1599771e76122fff167d94f33c55c48284ec6f195eee1dea5e8e3f782b76dd
repro/stage337_frontier_correction/summary.csv,True,296,e18c1a5a8139bed7a0157f6e82d9c4cbbe1681b3a91b208d53cd919268d926e9
repro/stage337_frontier_correction/closed_candidate_audit.csv,True,1373,a3aa79ee71e9ec938a3286855434dbd003feb54859af2ca8719ef9313cfc5457
repro/stage337_frontier_correction/route_decision.csv,True,644,6d8ffde040c732fa7dea207868b04d310a7cf31ff4b259efc2bd0400379377fc
repro/stage337_frontier_correction/proof_gate.csv,True,818,4c97fb0c465998aa3b7ee1c2e7a9921350300f5dddae1a06b43336c5bd03d6bc
repro/stage337_frontier_correction/next_stage_queue.csv,True,661,87da694a7b7a7daa0734561bdd291b3c6beee168c3f9cf3f8d4a743935b45c44
repro/stage337_frontier_correction/stage337_report.md,True,3189,2a0d57b54d4484dce954e979ffbf3017eec22a165db00e0de720f6b903432014
repro/stage337_frontier_correction/reproduction_commands.md,True,286,52834b5a49cb1f97989c6d7b9a0688f5f4e5dd51f4389ae797c49d1cded8489b
