variant,metric,value,unit,evidence,detail
backend_from_dft_add,cycles,991830854777,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"991830854777,,cycles,113271868811,39.00,,"
backend_from_dft_add,instructions,1650033998059,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"1650033998059,,instructions,141588468328,49.00,1.66,insn per cycle"
backend_from_dft_add,cache-references,42087766794,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"42087766794,,cache-references,141589082386,49.00,,"
backend_from_dft_add,cache-misses,14392218590,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"14392218590,,cache-misses,141600702159,50.00,34.20,of all cache refs"
backend_from_dft_add,branches,108964548865,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"108964548865,,branches,141595805865,49.00,,"
backend_from_dft_add,branch-misses,512178666,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"512178666,,branch-misses,141601403300,50.00,0.47,of all branches"
backend_from_dft_add,mem_inst_retired.all_loads,374112997913,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"374112997913,,mem_inst_retired.all_loads,113283143457,40.00,,"
backend_from_dft_add,mem_inst_retired.all_stores,209264677631,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"209264677631,,mem_inst_retired.all_stores,113278262542,40.00,,"
backend_from_dft_add,fp_arith_inst_retired.512b_packed_double,361110897498,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"361110897498,,fp_arith_inst_retired.512b_packed_double,113271439341,39.00,,"
backend_from_dft_add,fp_arith_inst_retired.256b_packed_double,67934709762,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_backend_from_dft_add.log,"67934709762,,fp_arith_inst_retired.256b_packed_double,113274999263,39.00,,"
wrapper_fused_from_dft_add,cycles,1009546510314,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"1009546510314,,cycles,115241815841,39.00,,"
wrapper_fused_from_dft_add,instructions,1672973396511,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"1672973396511,,instructions,144055726315,49.00,1.66,insn per cycle"
wrapper_fused_from_dft_add,cache-references,41969149112,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"41969149112,,cache-references,144054226609,49.00,,"
wrapper_fused_from_dft_add,cache-misses,14228584316,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"14228584316,,cache-misses,144062647925,50.00,33.90,of all cache refs"
wrapper_fused_from_dft_add,branches,111109001919,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"111109001919,,branches,144062886250,50.00,,"
wrapper_fused_from_dft_add,branch-misses,525832267,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"525832267,,branch-misses,144068388164,50.00,0.47,of all branches"
wrapper_fused_from_dft_add,mem_inst_retired.all_loads,378437925860,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"378437925860,,mem_inst_retired.all_loads,115254635295,40.00,,"
wrapper_fused_from_dft_add,mem_inst_retired.all_stores,211332326920,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"211332326920,,mem_inst_retired.all_stores,115254021644,40.00,,"
wrapper_fused_from_dft_add,fp_arith_inst_retired.512b_packed_double,360996742030,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"360996742030,,fp_arith_inst_retired.512b_packed_double,115246699204,39.00,,"
wrapper_fused_from_dft_add,fp_arith_inst_retired.256b_packed_double,67928732142,,repro/stage226_exact_mat_avx_counter_attribution/native_perf_raw/perf_wrapper_fused_from_dft_add.log,"67928732142,,fp_arith_inst_retired.256b_packed_double,115245507492,39.00,,"
