metric,wrapper_value,backend_value,wrapper_over_backend,evidence
cycles,1009546510314,991830854777,1.017861569,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
instructions,1672973396511,1650033998059,1.013902379,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
loads,378437925860,374112997913,1.011560486,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
stores,211332326920,209264677631,1.009880546,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
cache_references,41969149112,42087766794,0.997181659,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
cache_misses,14228584316,14392218590,0.988630365,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
fp512,360996742030,361110897498,0.999683877,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
fp256,67928732142,67934709762,0.999912009,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
elapsed_seconds,0.000000000,0.000000000,,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
load_store_per_cycle,0.584193246,0.588182625,0.993217448,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
load_store_to_fp512,1.633727356,1.615508365,1.011277559,repro/stage226_exact_mat_avx_counter_attribution/counter_summary.csv
