case,seed,field_prime,r,state_size,offlane_body_terms,mismatches,status,expectation
structured_offlane_zero,0,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,0,257,2,3,148;125,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,0,257,2,3,68;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,1,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,1,257,2,3,79;157,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,1,257,2,3,164;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,2,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,2,257,2,3,57;30,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,2,257,2,3,174;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,3,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,3,257,2,3,166;94,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,3,257,2,3,202;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,4,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,4,257,2,3,208;124,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,4,257,2,3,44;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,5,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
random_dense_negative,5,257,2,3,137;14,2,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
single_offlane_nonzero_negative,5,257,2,3,206;0,1,PASS_COUNTEREXAMPLE,PASS_COUNTEREXAMPLE_EXPECTED
structured_offlane_zero,6,257,2,3,0;0,0,PASS_EQUIVALENCE,PASS_EQUIVALENCE_EXPECTED
