source,metric,value,unit,evidence,detail
standard_perf,cycles,607760453812,count,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,"607,760,453,812      cycles                                                                  (66.67%)"
standard_perf,instructions,1100208155965,count,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,"1,100,208,155,965      instructions                     #    1.81  insn per cycle              (83.33%)"
standard_perf,cache-references,18342645703,count,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,"18,342,645,703      cache-references                                                        (83.33%)"
standard_perf,cache-misses,9100021344,count,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,"9,100,021,344      cache-misses                     #   49.61% of all cache refs           (83.33%)"
standard_perf,branches,67163204257,count,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,"67,163,204,257      branches                                                                (83.33%)"
standard_perf,branch-misses,378627192,count,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,"378,627,192      branch-misses                    #    0.56% of all branches             (83.33%)"
standard_perf,elapsed_seconds,172.702954475,seconds,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,172.702954475 seconds time elapsed
standard_perf,user_seconds,171.554334000,seconds,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,171.554334000 seconds user
standard_perf,sys_seconds,1.116138000,seconds,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_perf.log,1.116138000 seconds sys
standard_run,target_full_correctness,PASS,gate,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_run.log,target_full correctness Pass line found
standard_run,r,4,value,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36256764.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9064191.000 scalar_repeated_avg_us=47476987.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11869246.750 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
standard_run,reps,1,value,repro/stage101_cb5_remote_native_perf/stage28_native_perf_counter_gate/bench_run.log,SAB_PVW_BENCH summary target_full r=4 reps=1 pvw_avg_us=36256764.000 pvw_stddev_us=0.000 pvw_lane_avg_us=9064191.000 scalar_repeated_avg_us=47476987.000 scalar_stddev_us=0.000 scalar_lane_avg_us=11869246.750 speedup_vs_scalar_repeated=1.309x speedup_stddev=0.000
