run,parse_status,rows,outputs,N,blocks,reps,build_reps,current_avg_ns,packed_avg_ns,speedup,build_avg_ns,max_abs_diff,selector_bytes,packed_bytes,duplicate_probe_bytes,checksum,source_log
0,parsed,5,5,2048,128,100000,500,7816.097,6448.992,1.211987402,18872.124,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_0.log
1,parsed,5,5,2048,128,100000,500,6219.768,6483.086,0.959383923,17351.402,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_1.log
2,parsed,5,5,2048,128,100000,500,6852.622,6396.302,1.071341285,15239.786,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_10.log
3,parsed,5,5,2048,128,100000,500,6570.956,6515.698,1.008480680,18226.766,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_11.log
4,parsed,5,5,2048,128,100000,500,6992.464,6784.799,1.030607391,16056.378,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_12.log
5,parsed,5,5,2048,128,100000,500,6365.890,6419.662,0.991623817,17624.106,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_13.log
6,parsed,5,5,2048,128,100000,500,6810.647,5986.113,1.137741046,17114.556,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_14.log
7,parsed,5,5,2048,128,100000,500,6425.977,6164.626,1.042395391,15917.724,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_2.log
8,parsed,5,5,2048,128,100000,500,6123.024,6502.869,0.941588000,14604.760,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_3.log
9,parsed,5,5,2048,128,100000,500,5910.095,6471.399,0.913263920,15377.936,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_4.log
10,parsed,5,5,2048,128,100000,500,6184.505,6155.286,1.004746991,15384.150,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_5.log
11,parsed,5,5,2048,128,100000,500,6395.302,6477.518,0.987307364,16700.304,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_6.log
12,parsed,5,5,2048,128,100000,500,6691.204,6166.358,1.085114516,15162.698,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_7.log
13,parsed,5,5,2048,128,100000,500,6265.118,6622.825,0.945988683,16985.652,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_8.log
14,parsed,5,5,2048,128,100000,500,7054.781,6400.008,1.102308275,15150.926,0,409600,409600,819200,-27.802086706273258,repro/stage325_selector_transpose_resource_probe/raw/run_9.log
