variant,metric,value,unit,evidence,detail
sub_decompose,cycles,212689002,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"212,689,002      cycles                                                                  (37.80%)"
sub_decompose,instructions,271642981,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"271,642,981      instructions                     #    1.28  insn per cycle              (48.16%)"
sub_decompose,cache-references,4570474,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"4,570,474      cache-references                                                        (48.89%)"
sub_decompose,cache-misses,1174028,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"1,174,028      cache-misses                     #   25.69% of all cache refs           (50.20%)"
sub_decompose,branches,28225512,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"28,225,512      branches                                                                (51.52%)"
sub_decompose,branch-misses,67566,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"67,566      branch-misses                    #    0.24% of all branches             (51.88%)"
sub_decompose,mem_inst_retired.all_loads,31961718,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"31,961,718      mem_inst_retired.all_loads                                              (41.47%)"
sub_decompose,mem_inst_retired.all_stores,26882399,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"26,882,399      mem_inst_retired.all_stores                                             (40.75%)"
sub_decompose,fp_arith_inst_retired.512b_packed_double,5909004,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"5,909,004      fp_arith_inst_retired.512b_packed_double                                        (39.43%)"
sub_decompose,fp_arith_inst_retired.256b_packed_double,1180292,count,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,"1,180,292      fp_arith_inst_retired.256b_packed_double                                        (38.07%)"
sub_decompose,elapsed_seconds,0.080844524,seconds,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,0.080844524 seconds time elapsed
sub_decompose,user_seconds,0.044445000,seconds,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,0.044445000 seconds user
sub_decompose,sys_seconds,0.036544000,seconds,repro/stage180_mat_ep_split_probe/run_sub_decompose_perf.log,0.036544000 seconds sys
torus_to_dft_rows,cycles,232278924,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"232,278,924      cycles                                                                  (39.59%)"
torus_to_dft_rows,instructions,456734740,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"456,734,740      instructions                     #    1.97  insn per cycle              (50.67%)"
torus_to_dft_rows,cache-references,3097814,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"3,097,814      cache-references                                                        (50.79%)"
torus_to_dft_rows,cache-misses,432993,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"432,993      cache-misses                     #   13.98% of all cache refs           (50.79%)"
torus_to_dft_rows,branches,37723813,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"37,723,813      branches                                                                (50.79%)"
torus_to_dft_rows,branch-misses,103309,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"103,309      branch-misses                    #    0.27% of all branches             (50.57%)"
torus_to_dft_rows,mem_inst_retired.all_loads,68118974,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"68,118,974      mem_inst_retired.all_loads                                              (39.37%)"
torus_to_dft_rows,mem_inst_retired.all_stores,53511995,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"53,511,995      mem_inst_retired.all_stores                                             (39.37%)"
torus_to_dft_rows,fp_arith_inst_retired.512b_packed_double,59186396,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"59,186,396      fp_arith_inst_retired.512b_packed_double                                        (39.37%)"
torus_to_dft_rows,fp_arith_inst_retired.256b_packed_double,12877306,count,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,"12,877,306      fp_arith_inst_retired.256b_packed_double                                        (39.36%)"
torus_to_dft_rows,elapsed_seconds,0.085164937,seconds,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,0.085164937 seconds time elapsed
torus_to_dft_rows,user_seconds,0.048156000,seconds,repro/stage180_mat_ep_split_probe/run_torus_to_dft_rows_perf.log,0.048156000 seconds user
