run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,27714868.000,0.000,13857434.000,32031324.000,0.000,16015662.000,1.156,0.000
1,Pass,24849942.000,0.000,12424971.000,31336560.000,0.000,15668280.000,1.261,0.000
2,Pass,25195564.000,0.000,12597782.000,30605705.000,0.000,15302852.500,1.215,0.000
3,Pass,24749231.000,0.000,12374615.500,30718002.000,0.000,15359001.000,1.241,0.000
4,Pass,24988440.000,0.000,12494220.000,30812675.000,0.000,15406337.500,1.233,0.000
5,Pass,25237835.000,0.000,12618917.500,31222614.000,0.000,15611307.000,1.237,0.000
6,Pass,25037470.000,0.000,12518735.000,30583473.000,0.000,15291736.500,1.222,0.000
7,Pass,24953823.000,0.000,12476911.500,31274900.000,0.000,15637450.000,1.253,0.000
8,Pass,25129212.000,0.000,12564606.000,31327027.000,0.000,15663513.500,1.247,0.000
9,Pass,24943829.000,0.000,12471914.500,32065333.000,0.000,16032666.500,1.286,0.000
