r,N,seed,random_dummy_mismatch,missing_active_mismatch,status,interpretation
2,8,0,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,1,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,2,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,3,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,4,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,5,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,6,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,7,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,8,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,8,9,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,0,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,1,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,2,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,3,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,4,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,5,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,6,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,7,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,8,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
2,16,9,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,0,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,1,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,2,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,3,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,4,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,5,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,6,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,7,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,8,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,8,9,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,0,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,1,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,2,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,3,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,4,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,5,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,6,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,7,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,8,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
4,16,9,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,0,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,1,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,2,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,3,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,4,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,5,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,6,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,7,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,8,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,8,9,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,0,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,1,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,2,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,3,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,4,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,5,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,6,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,7,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,8,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
6,16,9,1,1,PASS,Negative controls must fail when dummy rows are semantic-random or an active row is skipped.
