run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,29768621.000,0.000,7442155.250,39582456.000,0.000,9895614.000,1.330,0.000
1,Pass,29732199.000,0.000,7433049.750,40165106.000,0.000,10041276.500,1.351,0.000
2,Pass,28994138.000,0.000,7248534.500,39196993.000,0.000,9799248.250,1.352,0.000
3,Pass,29716416.000,0.000,7429104.000,39563384.000,0.000,9890846.000,1.331,0.000
4,Pass,29436178.000,0.000,7359044.500,39928934.000,0.000,9982233.500,1.356,0.000
5,Pass,29078608.000,0.000,7269652.000,40771274.000,0.000,10192818.500,1.402,0.000
6,Pass,28671802.000,0.000,7167950.500,39555245.000,0.000,9888811.250,1.380,0.000
7,Pass,30849486.000,0.000,7712371.500,39922327.000,0.000,9980581.750,1.294,0.000
8,Pass,29258438.000,0.000,7314609.500,40434400.000,0.000,10108600.000,1.382,0.000
9,Pass,29601401.000,0.000,7400350.250,41176601.000,0.000,10294150.250,1.391,0.000
