branch,r,seed,selector_value,N,prec,a,phase_mismatches,max_phase_gap,mean_phase_gap,selector_keygen_us,external_product_us,status
include_zero,1,0,0,1024,3,5,0,22149146288128,5228033206827.469,133,23,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,0,0,1024,3,5,0,18344878964736,4782945208567.250,187,12,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,0,1,1024,3,7,0,584176755531776,271533975013404.250,130,4,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,0,1,1024,3,7,0,613938194537472,305509319568769.500,137,5,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,1,0,1024,3,15,0,18208513884160,4814708672896.016,112,5,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,1,0,1024,3,15,0,19465865592832,4620705336955.500,112,5,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,1,1,1024,3,17,0,594202282901504,278500399406573.375,112,5,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,1,1,1024,3,17,0,586802054191104,287973164711713.500,112,5,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,2,0,1024,3,25,0,18966575480832,4928752843890.188,111,4,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,2,0,1024,3,25,0,21390010908672,4758414299589.688,111,5,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,2,1,1024,3,27,0,613944100110336,295615903830318.000,112,6,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,2,1,1024,3,27,0,596291784523776,293354574174138.000,112,4,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,3,0,1024,3,35,0,18784039436288,4726764604075.750,110,4,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,3,0,1024,3,35,0,19385335119872,4485766180094.000,112,4,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,3,1,1024,3,37,0,575983031648256,278027890063993.000,111,4,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,3,1,1024,3,37,0,611530328563712,294221827277478.500,109,4,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,4,0,1024,3,45,0,14396730388480,3982973997898.750,122,4,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,4,0,1024,3,45,0,16789027356672,4155432242912.750,109,6,PASS_MOSFHET_SELECTOR_SUBA
include_zero,1,4,1,1024,3,47,0,574125458239488,273815824245621.500,109,4,PASS_MOSFHET_SELECTOR_SUBA
ternary,1,4,1,1024,3,47,0,598082785968128,302150541380958.625,110,4,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,0,0,1024,3,7,0,22707492052992,5760276234111.062,324,11,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,0,0,1024,3,7,0,22655952502784,5208755671091.812,339,9,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,0,1,1024,3,9,0,627941398707200,294879677649145.625,319,11,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,0,1,1024,3,9,0,600526622328832,282315011917255.000,320,10,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,1,0,1024,3,17,0,22870700851200,5994448554234.750,381,18,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,1,0,1024,3,17,0,29437705977856,6931440745755.094,433,15,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,1,1,1024,3,19,0,639340241780736,304521641973231.750,399,14,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,1,1,1024,3,19,0,597533030014976,284171641009955.188,396,13,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,2,0,1024,3,27,0,25065429114880,5650522830861.875,382,12,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,2,0,1024,3,27,0,22840636047360,5191994711792.625,411,42,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,2,1,1024,3,29,0,622064809543680,308397537756644.625,394,14,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,2,1,1024,3,29,0,560068030455808,269858518858907.656,416,13,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,3,0,1024,3,37,0,22905060622336,5261458662440.938,416,14,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,3,0,1024,3,37,0,24371792031744,5640485338237.812,417,14,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,3,1,1024,3,39,0,642252229650432,308712463897921.875,417,13,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,3,1,1024,3,39,0,625574871449600,296588472357623.125,410,12,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,4,0,1024,3,47,0,20899310911488,5354431179826.625,396,13,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,4,0,1024,3,47,0,33535104630784,7464710047658.875,422,14,PASS_MOSFHET_SELECTOR_SUBA
include_zero,2,4,1,1024,3,49,0,619561917359360,284321479411299.625,341,9,PASS_MOSFHET_SELECTOR_SUBA
ternary,2,4,1,1024,3,49,0,590502168600576,271174719251827.375,308,9,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,0,0,1024,3,11,0,33861522128896,6860923339860.500,1064,25,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,0,0,1024,3,11,0,30206505074688,6898204016283.688,1003,15,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,0,1,1024,3,13,0,593620314693632,274771114724766.000,1014,15,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,0,1,1024,3,13,0,600934644269056,264209410958770.156,1031,16,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,1,0,1024,3,21,0,35757750255616,7031675821674.375,1142,22,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,1,0,1024,3,21,0,38633230786560,7715006967917.250,1050,19,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,1,1,1024,3,23,0,589922348101632,278084802585641.750,1034,17,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,1,1,1024,3,23,0,624986461077504,289415573005719.938,1015,16,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,2,0,1024,3,31,0,29570849890304,6795686577559.969,1038,16,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,2,0,1024,3,31,0,33131377655808,7401675680806.891,1122,21,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,2,1,1024,3,33,0,601295421440000,285050406040983.875,1096,20,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,2,1,1024,3,33,0,639335946797056,291523364123479.812,1105,17,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,3,0,1024,3,41,0,31194347458560,7133153722073.750,1061,17,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,3,0,1024,3,41,0,29175712907264,6456075091734.812,1094,16,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,3,1,1024,3,43,0,597077763596288,276557689002157.344,1031,69,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,3,1,1024,3,43,0,617500333053952,293561065605158.062,1063,17,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,4,0,1024,3,51,0,36659156508672,6624250954696.812,1738,17,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,4,0,1024,3,51,0,35613868883968,6836242868640.062,1078,18,PASS_MOSFHET_SELECTOR_SUBA
include_zero,4,4,1,1024,3,53,0,605070697629696,281260249955542.688,1015,16,PASS_MOSFHET_SELECTOR_SUBA
ternary,4,4,1,1024,3,53,0,600951823906816,281939831151714.875,1003,15,PASS_MOSFHET_SELECTOR_SUBA
