source_id,url_kind,title,url,scheme,host,access_status,http_status,final_url,error,stage230_status,interpretation
FAB686_2025,primary_url,Fast amortized bootstrapping with small keys and polynomial noise overhead,https://eprint.iacr.org/2025/686,https,eprint.iacr.org,ACCESS_OK,200,https://eprint.iacr.org/2025/686,,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
FAB686_2025,secondary_url,Fast amortized bootstrapping with small keys and polynomial noise overhead,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,https,github.com,ACCESS_OK,200,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
INCNTT25_696,primary_url,Faster amortized bootstrapping using the incomplete NTT for free,https://eprint.iacr.org/2025/696,https,eprint.iacr.org,ACCESS_OK,200,https://eprint.iacr.org/2025/696,,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
INCNTT25_696,secondary_url,Faster amortized bootstrapping using the incomplete NTT for free,https://github.com/thalespaiva/incomplete_ntt_amortized_bt,https,github.com,ACCESS_OK,200,https://github.com/thalespaiva/incomplete_ntt_amortized_bt,,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
SHAREMASK25_2112,primary_url,Sharing the Mask: TFHE Bootstrapping on Packed Messages,https://doi.org/10.46586/tches.v2025.i4.925-971,https,doi.org,ACCESS_OK,200,https://tches.iacr.org/index.php/TCHES/article/view/12434,,VERIFIED_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
SHAREMASK25_2112,secondary_url,Sharing the Mask: TFHE Bootstrapping on Packed Messages,https://dblp.org/rec/journals/tches/BergeratBCOPT25,https,dblp.org,ACCESS_OK,200,https://dblp.org/rec/journals/tches/BergeratBCOPT25.html,,VERIFIED_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
BATCHBOOT26,primary_url,BatchBoot: Fast Batched Bootstrapping for TFHE scheme and Practical Applications,https://www.usenix.org/conference/usenixsecurity26/presentation/li-zhihao,https,www.usenix.org,ACCESS_OK,200,https://www.usenix.org/conference/usenixsecurity26/presentation/li-zhihao,,VERIFIED_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
BATCHBOOT26,secondary_url,BatchBoot: Fast Batched Bootstrapping for TFHE scheme and Practical Applications,https://www.usenix.org/system/files/conference/usenixsecurity26/sec26_prepub_li-zhihao.pdf,https,www.usenix.org,ACCESS_OK,200,https://www.usenix.org/system/files/conference/usenixsecurity26/sec26_prepub_li-zhihao.pdf,,VERIFIED_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
LW23A_B,primary_url,Batch Bootstrapping I/II,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_11,https,dl.acm.org,HTTP_ERROR,403,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_11,Forbidden,VERIFIED_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
LW23A_B,secondary_url,Batch Bootstrapping I/II,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_12,https,dl.acm.org,HTTP_ERROR,403,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_12,Forbidden,VERIFIED_OFFICIAL_METADATA,current access probe only; Stage230 source verification remains the citation-policy authority
