source_id,title,bibtex_status,preferred_route,primary_url,secondary_url,action
FAB686_2025,Fast amortized bootstrapping with small keys and polynomial noise overhead,NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2025/686,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,retrieve BibTeX from verified source before LaTeX submission
INCNTT25_696,Faster amortized bootstrapping using the incomplete NTT for free,NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2025/696,https://github.com/thalespaiva/incomplete_ntt_amortized_bt,retrieve BibTeX from verified source before LaTeX submission
SHAREMASK25_2112,Sharing the Mask: TFHE Bootstrapping on Packed Messages,NOT_GENERATED_TO_AVOID_HALLUCINATION,resolve DOI landing page and export publisher/DBLP BibTeX,https://doi.org/10.46586/tches.v2025.i4.925-971,https://dblp.org/rec/journals/tches/BergeratBCOPT25,retrieve BibTeX from verified source before LaTeX submission
BATCHBOOT26,BatchBoot: Fast Batched Bootstrapping for TFHE scheme and Practical Applications,NOT_GENERATED_TO_AVOID_HALLUCINATION,use official USENIX metadata/BibTeX if available,https://www.usenix.org/conference/usenixsecurity26/presentation/li-zhihao,https://www.usenix.org/system/files/conference/usenixsecurity26/sec26_prepub_li-zhihao.pdf,retrieve BibTeX from verified source before LaTeX submission
LW23A_B,Batch Bootstrapping I/II,NOT_GENERATED_TO_AVOID_HALLUCINATION,manually verify official metadata and BibTeX,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_11,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_12,retrieve BibTeX from verified source before LaTeX submission
BGH2012_565,Packed Ciphertexts in LWE-based Homomorphic Encryption,NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2012/565,https://dblp.org/rec/journals/iacr/BrakerskiGH12,retrieve BibTeX from verified source before LaTeX submission
CGGI2018_421,TFHE: Fast Fully Homomorphic Encryption over the Torus,NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2018/421,https://dl.acm.org/doi/10.1007/s00145-019-09319-x,retrieve BibTeX from verified source before LaTeX submission
MS2018_532,Ring Packing and Amortized FHEW Bootstrapping,NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2018/532,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2018.100,retrieve BibTeX from verified source before LaTeX submission
GPVL2023_014,"Amortized Bootstrapping Revisited: Simpler, Asymptotically-faster, Implemented",NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2023/014,https://dblp.org/rec/conf/asiacrypt/GuimaraesPL23,retrieve BibTeX from verified source before LaTeX submission
DKMS2024_112,Faster Amortized FHEW Bootstrapping Using Ring Automorphisms,NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2023/112,https://dl.acm.org/doi/10.1007/978-3-031-57728-4_11,retrieve BibTeX from verified source before LaTeX submission
LW2023_910,"Amortized Functional Bootstrapping in less than 7ms, with O(1) polynomial multiplications",NOT_GENERATED_TO_AVOID_HALLUCINATION,"download ePrint BibTeX or check publication_info, then prefer published venue if available",https://eprint.iacr.org/2023/910,https://dblp.org/rec/conf/asiacrypt/LiuW23,retrieve BibTeX from verified source before LaTeX submission
