frontier_id,lane,requirement,status,evidence,interpretation,next_action,completion_effect
G1,local_engineering,Scalar SAB baseline and explicit sab_pvw_* path remain separately auditable.,LOCAL_READY,repro/stage33_current_smoke/summary.csv,Current-commit smoke evidence exists; scalar path is preserved as the comparison baseline.,Rerun current smoke after implementation changes.,Supports scoped engineering continuity only.
G2,performance,Complete SAB A/B throughput evidence exists for target binary r=2/r=4.,LOCAL_READY,repro/stage36_target_perf_summary.csv; repro/stage50_performance_evidence_matrix.csv,Stage36 remains the high-stat performance source and Stage50 verifies current-head continuity boundaries.,"Rerun Stage36/Stage49 only after code, backend, or platform changes.",Supports scoped target complete-SAB performance wording.
G3,correctness_noise,Final-output and stage-level noise/correctness evidence exists for target r=2/r=4.,LOCAL_READY,repro/stage36_target_noise_seeds50/aggregate.csv; repro/stage36_stage_noise_seeds10/aggregate.csv,Target final-output noise has 50-seed zero-failure support and stage-level noise has 10-seed support.,"Rerun noise gates after parameter, arithmetic, or key-format changes.",Supports scoped target correctness/noise wording.
G4,resources,Resource/key/time snapshots are available for scalar and PVW r=1/2/4.,LOCAL_READY,repro/stage36_resource_summary.csv,"Resource evidence is repeated enough for scoped reporting, with resource cost kept explicit.",Rerun resource matrix after implementation or key-layout changes.,"Supports scoped resource reporting, not universal deployment claims."
G5,added_binary_generalization,Added binary parameter evidence exists beyond SET_2_3_2048.,LOCAL_SCOPED_READY,repro/stage36_added_params_runs10_seeds20/performance_stats.csv; repro/stage36_added_params_runs10_seeds20/noise_summary.csv,Added binary parameters have repeated performance/noise support; non-binary/all-parameter claims remain outside scope.,Add separate branch coverage before claiming non-binary or all-parameter generality.,Supports added-binary wording only.
G6,reproducibility,Stage19+ evidence chain is machine-checked and registered.,LOCAL_READY,repro/stage42_evidence_closure_audit.csv,Stage42 closure currently verifies the Stage19-59 evidence chain and preserves stronger-claim blockers.,Extend closure/verifier whenever new stages or artifacts are added.,Supports reproducibility of the scoped engineering chain.
B1,external_perf_theory,MAT-AVX512 theoretical load/store/FMA attribution requires native hardware-counter evidence.,EXTERNAL_BLOCKED,repro/final_goal_completion_audit.csv; repro/conditional_backlog_audit.csv; repro/stage44_external_unlock_reprobe/summary.csv; repro/external_evidence_intake/summary.csv,final_A8=BLOCKED_EXTERNAL; cb5=BLOCKED_EXTERNAL; stage44_perf=BLOCKED; external_perf=MISSING,STAGE28_RUN_BENCH=1 bash scripts/run_stage28_native_perf_counter_gate.sh,Blocks theoretical MAT-AVX512 optimality or load/store-superiority claims.
B2,external_novelty,Novelty and related-work distinction require full-text claim-to-source review.,EXTERNAL_REVIEW_BLOCKED,repro/conditional_backlog_audit.csv; repro/stage27_related_work_access_probe/summary.csv; repro/stage55_external_paper_probe/summary.csv; repro/stage41_external_unlock_packet.csv,cb6=BLOCKED_EXTERNAL_REVIEW; related=SCOPED_RELATED_WORK_REFRESHED__NOVELTY_STILL_BLOCKED; novelty_gate=BLOCK_NOVELTY_CLAIM_PENDING_MANUAL_REVIEW,FINAL_RECHECK_RELATED_WORK=1 bash scripts/run_final_goal_recheck.sh,Blocks novelty wording beyond scoped engineering/systems contribution.
B3,external_2025_686_fulltext,2025/686 theorem-level protocol/citation review requires a registered full text.,EXTERNAL_FULLTEXT_BLOCKED,repro/final_goal_completion_audit.csv; repro/conditional_backlog_audit.csv; repro/stage44_external_unlock_reprobe/summary.csv; repro/stage55_external_paper_probe/summary.csv; repro/stage27_related_work_access_probe/summary.csv; repro/external_evidence_intake/summary.csv,final_A8b=MISSING_OPTIONAL_EXTERNAL_EVIDENCE; cb7=BLOCKED_EXTERNAL_FULLTEXT; stage44_fulltext=BLOCKED; stage55_fulltext=BLOCKED; stage55_metadata=PASS; stage55_decision=WAIT_FULLTEXT_ARTIFACT_MANUAL_REVIEW; related_fulltext=BLOCKED_FULLTEXT; external_fulltext=MISSING,FAB686_FULLTEXT_PATH=/path/to/2025_686.pdf bash scripts/run_stage38_fulltext_review_gate.sh,"Blocks theorem, algorithm, table, figure, or experiment-number claims from 2025/686."
G9,overall,Original goal status under current evidence.,SCOPED_ENGINEERING_CHAIN_READY__STRONGER_CLAIMS_BLOCKED,repro/final_goal_completion_audit.csv; docs/final_goal_completion_audit.md,complete scoped engineering acceleration evidence exists; novelty/theory/all-parameter claims are not complete,Keep the active goal open until external full-text/perf/native evidence is supplied or the scope is explicitly narrowed.,"Goal remains active: scoped engineering chain is ready, stronger claims remain blocked."
