run_index,run_label,backend,r,mode,keygen_us,keygen_lane_avg_us,estimated_key_bytes,estimated_key_bytes_ratio_vs_scalar_repeated,internal_vmhwm_kb,time_max_rss_kb,source_log,time_log,source_csv,notes
0,stage36_resource_run_0,spqlios_avx512,1,pvw,537704,537704.000,153358112,1.000029,203268,203600,repro/stage36_resource_run_0/r1/pvw.log,repro/stage36_resource_run_0/r1/pvw.time.log,repro/stage36_resource_run_0/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
0,stage36_resource_run_0,spqlios_avx512,1,scalar,530025,530025.000,153353608,1.000000,194988,195204,repro/stage36_resource_run_0/r1/scalar.log,repro/stage36_resource_run_0/r1/scalar.time.log,repro/stage36_resource_run_0/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
0,stage36_resource_run_0,spqlios_avx512,2,pvw,1067403,533701.500,310883736,1.013617,383020,383236,repro/stage36_resource_run_0/r2/pvw.log,repro/stage36_resource_run_0/r2/pvw.time.log,repro/stage36_resource_run_0/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
0,stage36_resource_run_0,spqlios_avx512,2,scalar,1011819,505909.500,306707216,1.000000,387044,387304,repro/stage36_resource_run_0/r2/scalar.log,repro/stage36_resource_run_0/r2/scalar.time.log,repro/stage36_resource_run_0/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
0,stage36_resource_run_0,spqlios_avx512,4,pvw,2388130,597032.500,653500424,1.065349,769224,769440,repro/stage36_resource_run_0/r4/pvw.log,repro/stage36_resource_run_0/r4/pvw.time.log,repro/stage36_resource_run_0/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
0,stage36_resource_run_0,spqlios_avx512,4,scalar,1869053,467263.250,613414432,1.000000,771376,771684,repro/stage36_resource_run_0/r4/scalar.log,repro/stage36_resource_run_0/r4/scalar.time.log,repro/stage36_resource_run_0/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
1,stage36_resource_run_1,spqlios_avx512,1,pvw,466651,466651.000,153358112,1.000029,203244,203524,repro/stage36_resource_run_1/r1/pvw.log,repro/stage36_resource_run_1/r1/pvw.time.log,repro/stage36_resource_run_1/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
1,stage36_resource_run_1,spqlios_avx512,1,scalar,488324,488324.000,153353608,1.000000,195024,195204,repro/stage36_resource_run_1/r1/scalar.log,repro/stage36_resource_run_1/r1/scalar.time.log,repro/stage36_resource_run_1/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
1,stage36_resource_run_1,spqlios_avx512,2,pvw,1023870,511935.000,310883736,1.013617,382976,383152,repro/stage36_resource_run_1/r2/pvw.log,repro/stage36_resource_run_1/r2/pvw.time.log,repro/stage36_resource_run_1/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
1,stage36_resource_run_1,spqlios_avx512,2,scalar,941156,470578.000,306707216,1.000000,387060,387320,repro/stage36_resource_run_1/r2/scalar.log,repro/stage36_resource_run_1/r2/scalar.time.log,repro/stage36_resource_run_1/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
1,stage36_resource_run_1,spqlios_avx512,4,pvw,2241653,560413.250,653500424,1.065349,769228,769444,repro/stage36_resource_run_1/r4/pvw.log,repro/stage36_resource_run_1/r4/pvw.time.log,repro/stage36_resource_run_1/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
1,stage36_resource_run_1,spqlios_avx512,4,scalar,1965276,491319.000,613414432,1.000000,771340,771688,repro/stage36_resource_run_1/r4/scalar.log,repro/stage36_resource_run_1/r4/scalar.time.log,repro/stage36_resource_run_1/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
2,stage36_resource_run_2,spqlios_avx512,1,pvw,470858,470858.000,153358112,1.000029,203340,203572,repro/stage36_resource_run_2/r1/pvw.log,repro/stage36_resource_run_2/r1/pvw.time.log,repro/stage36_resource_run_2/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
2,stage36_resource_run_2,spqlios_avx512,1,scalar,476869,476869.000,153353608,1.000000,195076,195168,repro/stage36_resource_run_2/r1/scalar.log,repro/stage36_resource_run_2/r1/scalar.time.log,repro/stage36_resource_run_2/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
2,stage36_resource_run_2,spqlios_avx512,2,pvw,976593,488296.500,310883736,1.013617,382984,383156,repro/stage36_resource_run_2/r2/pvw.log,repro/stage36_resource_run_2/r2/pvw.time.log,repro/stage36_resource_run_2/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
2,stage36_resource_run_2,spqlios_avx512,2,scalar,936834,468417.000,306707216,1.000000,386940,387304,repro/stage36_resource_run_2/r2/scalar.log,repro/stage36_resource_run_2/r2/scalar.time.log,repro/stage36_resource_run_2/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
2,stage36_resource_run_2,spqlios_avx512,4,pvw,2380851,595212.750,653500424,1.065349,769176,769468,repro/stage36_resource_run_2/r4/pvw.log,repro/stage36_resource_run_2/r4/pvw.time.log,repro/stage36_resource_run_2/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
2,stage36_resource_run_2,spqlios_avx512,4,scalar,2200639,550159.750,613414432,1.000000,771424,771676,repro/stage36_resource_run_2/r4/scalar.log,repro/stage36_resource_run_2/r4/scalar.time.log,repro/stage36_resource_run_2/summary.csv,public bootstrap key estimate excludes secret keys and tmp scratch
