item_id,category,requirement,status,evidence,scope,remaining_action
F1,final_standard,"Promoted sab_pvw_* full bootstrapping path matches repeated scalar SAB output under target parameters",SATISFIED_SCOPED,"docs/stage20_active_buffer_log.md; docs/stage27_final_evidence_package.md; repro/stage27_final_evidence_package/performance_scope.csv","binary tested parameters, explicit PVW path","None for scoped engineering claim"
F2,final_standard,"Multi-seed correctness/noise gates pass for promoted variants",SATISFIED_SCOPED,"docs/stage25_correctness_noise_resource_log.md; repro/stage27_final_evidence_package/noise_scope.csv","target r=2/r=4 has 50-seed final-output noise; added binary params have 5-seed small-sample noise","Run larger added-parameter seed campaign only for broad parameter claims"
F3,final_standard,"Complete bootstrapping benchmark evidence shows stable throughput gain over repeated scalar SAB under same backend",SATISFIED_SCOPED,"docs/stage27_final_full_sab_performance_log.md; repro/stage27_final_evidence_package/performance_scope.csv","same-backend spqlios_avx512 complete SAB; r=4 target strongest, r=2 positive/noisy","Run more repetitions only if tighter intervals are required"
F4,final_standard,"Scalar baseline behavior and benchmarkability remain intact",SATISFIED_SCOPED,"docs/stage20_active_buffer_log.md; docs/stage21_suba_output_log.md; docs/stage23_schedule_fused_cmux_log.md; repro/run_log.csv","scalar comparison path preserved in tested benchmark and regression gates","None for scoped engineering claim"
F5,final_standard,"Algorithmic gains and backend/SIMD gains are separated",SATISFIED_SCOPED,"docs/stage8_gain_separation.md; docs/stage22_mat_avx512_limit_audit_log.md; docs/stage27_final_evidence_package.md","same-backend comparisons used for algorithmic claim; AVX512 theoretical optimum not claimed","Native perf counters only needed for theoretical load/store claim"
F6,final_standard,"Key size, keygen time, memory peak, and scratch/resource overhead are reported",SATISFIED_SMOKE_RESOURCE,"docs/stage25_correctness_noise_resource_log.md; repro/stage27_final_evidence_package/resource_scope.csv","Stage 25 resource snapshot for target r=1/2/4","Repeat resource matrix only if final paper needs larger statistical resource table"
F7,final_standard,"Reproducibility artifacts contain commit, command, backend, CPU flags, logs, summaries, and decisions",SATISFIED_SCOPED,"repro/environment.md; repro/run_log.csv; repro/artifact_manifest.md; repro/reproduction_checklist.md; repro/stage27_final_evidence_package/manifest.csv","recorded evidence package and commands","None for scoped engineering claim"
F8,final_standard,"Paper-level claims are made only after literature/novelty audit",SATISFIED_FOR_ENGINEERING_BLOCKED_FOR_NOVELTY,"docs/stage27_related_work_refresh_log.md; docs/stage27_citation_gate_log.md; repro/stage27_claim_support_matrix.csv","engineering claim allowed; novelty/theorem-level claims blocked","Obtain and inspect full 2025/686 paper before novelty/theorem-level manuscript claims"
S19,stage,"Exact sparse schedule audit",SATISFIED,"docs/stage19_sparse_schedule_audit_log.md; repro/stage19_sparse_schedule_avx512_runs1/summary.csv","target binary r=2/r=4 schedule counts","None"
S20,stage,"Active-buffer/copyback fusion implementation and performance gate",SATISFIED_PROMOTED,"docs/stage20_active_buffer_log.md; repro/stage20_active_buffer_summary.csv","current explicit promoted body path","None"
S21,stage,"sub_a / rotation optimization candidate",SATISFIED_NEUTRAL,"docs/stage21_suba_output_log.md","explicit ablation validated but not promoted","None unless new sub_a design appears"
S22,stage,"MAT-aware AVX512 practical audit",SATISFIED_PRACTICAL_NOT_THEORETICAL,"docs/stage22_mat_avx512_limit_audit_log.md","same-backend practical specialized-vs-generic evidence","Native perf counters only if theoretical optimality is claimed"
S23,stage,"PVW CMUX/NCMUX schedule fusion",SATISFIED_NEUTRAL,"docs/stage23_schedule_fused_cmux_log.md","explicit ablation validated but not promoted","None unless new schedule-fusion hypothesis appears"
S24,stage,"Conditional post-processing profile",SATISFIED_DEFERRED,"docs/stage24_postproc_tail_log.md","tail below implementation threshold","Revisit only if body path changes materially"
S25,stage,"Correctness/noise/resource matrix",SATISFIED_SCOPED,"docs/stage25_correctness_noise_resource_log.md; repro/stage27_final_evidence_package/noise_scope.csv; repro/stage27_final_evidence_package/resource_scope.csv","50-seed final-output noise for target r=2/r=4; resource smoke","Expand stage-level noise only for stage-by-stage noise claims"
S26,stage,"Parameter and branch generalization",SATISFIED_SCOPED,"docs/stage26_parameter_branch_log.md; docs/stage26_parameter_perf_noise_log.md","binary added parameters have 5-run/5-seed small-sample support; PVW non-binary unsupported","Increase runs/seeds only for broad parameter claims; implement non-binary PVW only if claimed"
S27,stage,"Novelty/paper package and final evidence package",SATISFIED_ENGINEERING_BLOCKED_NOVELTY,"docs/stage27_final_evidence_package.md; docs/stage27_related_work_refresh_log.md; docs/stage27_citation_gate_log.md","safe engineering package assembled; novelty and theorem-level citations blocked","Manual full 2025/686 review required for novelty/theorem-level claims"
R1,report,Scoped final engineering report,SATISFIED_SCOPED,docs/stage27_final_engineering_report.md; docs/stage27_final_evidence_package.md; docs/stage27_completion_readiness_audit.md,user-facing scoped engineering result summary,Do not use as novelty/theorem-level manuscript without blocked gates resolved
